Date,AMG
2010-10-18,86.302727074999
2010-10-19,83.060513885844
2010-10-20,84.27759083685
2010-10-21,83.499459671453
2010-10-22,84.965937637009
2010-10-25,84.636728297802
2010-10-26,84.836249109443
2010-10-27,86.991073875158
2010-10-28,87.529780066586
2010-10-29,85.404883422617
2010-11-01,86.532176008385
2010-11-02,87.390115498438
2010-11-03,88.88652158574
2010-11-04,91.330651528333
2010-11-05,90.742065133995
2010-11-08,90.652280768757
2010-11-09,89.145898640872
2010-11-10,90.542544322354
2010-11-11,89.704556913465
2010-11-12,87.070882199814
2010-11-15,87.589636310078
2010-11-16,85.015817839919
2010-11-17,85.364979260289
2010-11-18,88.48747996246
2010-11-19,89.445179858333
2010-11-22,89.395299655423
2010-11-23,86.911265550501
2010-11-24,89.904077725106
2010-11-26,89.235683006111
