Date,ADS
2011-08-26,89.071332569794
2011-08-29,91.439302367812
2011-08-30,91.964417009214
2011-08-31,92.548978591151
2011-09-01,91.528472778616
2011-09-02,89.685617622
2011-09-06,89.873866267031
2011-09-07,92.02386394975
2011-09-08,91.251053722782
2011-09-09,88.873176101341
2011-09-12,89.57663156435
2011-09-13,89.517184623814
2011-09-14,91.984232656059
2011-09-15,94.461188511726
2011-09-16,94.163953809046
2011-09-19,94.926856212592
2011-09-20,98.275700529454
2011-09-21,95.739297733251
2011-09-22,92.519255120883
2011-09-23,90.696215611112
2011-09-26,93.242526230738
2011-09-27,94.342294630654
2011-09-28,92.548978591151
2011-09-29,92.786766353295
2011-09-30,91.845523128142
2011-10-03,87.268108706869
2011-10-04,88.199444108599
2011-10-05,90.101746205752
2011-10-06,93.311880994697
2011-10-07,93.728009578449
2011-10-10,96.165334140425
2011-10-11,95.977085495395
2011-10-12,97.344365127723
2011-10-13,91.657274483111
2011-10-14,93.282157524429
2011-10-17,91.815799657874
2011-10-18,93.460498346037
2011-10-19,92.142757830822
2011-10-20,93.866719106366
2011-10-21,97.086761718734
2011-10-24,100.01947745184
2011-10-25,98.057728414155
2011-10-26,99.93030704104
2011-10-27,102.16947513456
2011-10-28,104.00242246776
2011-10-31,101.49574314182
2011-11-01,99.256575048298
2011-11-02,100.46532950586
2011-11-03,101.80288566792
2011-11-04,101.62454484632
2011-11-07,101.62454484632
2011-11-08,102.34781595617
2011-11-09,99.563717574401
2011-11-10,99.573625397823
2011-11-11,101.01025979411
2011-11-14,100.57431556351
2011-11-15,100.41579038875
2011-11-16,98.909801228505
2011-11-17,95.729389909828
2011-11-18,94.946671859437
2011-11-21,94.500819805417
2011-11-22,93.886534753211
2011-11-23,92.598517708265
2011-11-25,92.222020418203
2011-11-28,95.511417794529
2011-11-29,96.482384489951
2011-11-30,101.46601967155
2011-12-01,102.37753942644
2011-12-02,103.88352858668
2011-12-05,104.01233029118
2011-12-06,102.11993601745
2011-12-07,102.33790813275
2011-12-08,101.07961455807
2011-12-09,102.74412889308
