Date,AMT
2010-10-18,45.555700443496
2010-10-19,44.924110221463
2010-10-20,45.519609573666
2010-10-21,45.131632722988
2010-10-22,45.312087072141
2010-10-25,45.84442740214
2010-10-26,45.871495554513
2010-10-27,45.745177510106
2010-10-28,46.683540125698
2010-10-29,46.566244798749
2010-11-01,46.728653712986
2010-11-02,46.809858170105
2010-11-03,47.035426106545
2010-11-04,47.288062195358
2010-11-05,46.845949039935
2010-11-08,47.251971325528
2010-11-09,47.089562411291
2010-11-10,47.919652417391
2010-11-11,47.946720569764
2010-11-12,47.24294860807
2010-11-15,46.430904036885
2010-11-16,45.600814030784
2010-11-17,46.051949903665
2010-11-18,46.548199363834
2010-11-19,46.86399447485
2010-11-22,46.764744582817
2010-11-23,46.151199795699
2010-11-24,46.954221649427
2010-11-26,46.710608278071
