Date,AMAT
2013-07-31,15.125725260833
2013-08-01,15.287968712911
2013-08-02,15.130360788035
2013-08-05,14.926397591138
2013-08-06,14.982023917564
2013-08-07,14.731705448645
2013-08-08,14.509200142938
2013-08-09,14.527742251747
2013-08-12,14.509200142938
2013-08-13,14.583368578174
2013-08-14,14.583368578174
2013-08-15,14.207890874794
2013-08-16,14.481386979725
2013-08-19,14.416489598894
2013-08-20,14.518471197343
2013-08-21,14.509140560326
2013-08-22,14.611777567506
2013-08-23,14.57445501944
2013-08-26,14.415834190164
2013-08-27,14.060336919843
2013-08-28,13.963298294874
2013-08-29,14.126584442659
2013-08-30,14.005286161447
2013-09-03,14.09859253161
2013-09-04,14.569789700932
2013-09-05,14.62577352303
2013-09-06,14.471818012261
2013-09-09,14.541797789883
2013-09-10,14.910357952027
2013-09-11,14.863704766945
2013-09-12,14.863704766945
2013-09-13,14.845043492913
2013-09-16,14.882366040978
2013-09-17,14.840378174405
2013-09-18,15.12962792191
2013-09-19,15.008329640698
2013-09-20,14.863704766945
2013-09-23,14.920621652745
2013-09-24,16.277296274913
2013-09-25,16.645856437056
2013-09-26,16.580541977942
2013-09-27,16.421921148665
2013-09-30,16.357539753253
2013-10-01,16.300622867454
2013-10-02,16.337945415519
2013-10-03,16.169993949226
2013-10-04,16.393929237616
2013-10-07,16.58520729645
2013-10-08,16.333280097011
2013-10-09,16.179324586242
2013-10-10,16.68784430363
2013-10-11,16.795146629317
2013-10-14,16.88845299948
2013-10-15,16.627195163024
2013-10-16,16.75689101755
2013-10-17,16.874457043955
2013-10-18,16.841799814398
2013-10-21,16.673848348105
2013-10-22,16.861394152132
2013-10-23,16.23530840834
2013-10-24,16.627195163024
2013-10-25,16.519892837336
2013-10-28,16.543219429877
2013-10-29,16.799811947825
2013-10-30,16.678513666613
2013-10-31,16.659852392581
2013-11-01,16.515227518828
2013-11-04,16.56188070391
2013-11-05,16.575876659434
2013-11-06,16.720501533187
2013-11-07,16.202651178783
2013-11-08,16.56188070391
2013-11-11,16.608533888991
2013-11-12,16.45924369673
2013-11-13,16.487235607779
2013-11-14,16.3845986006
2013-11-15,16.347276052535
2013-11-18,15.80609910559
2013-11-19,15.787437831558
2013-11-20,15.79682394204
2013-11-21,16.205119748029
2013-11-22,16.191040582305
2013-11-25,16.20981280327
2013-11-26,16.444465565333
2013-11-27,16.28490168713
2013-11-29,16.237971134718
2013-12-02,16.05963503555
2013-12-03,16.069021146033
2013-12-04,15.590329511425
2013-12-05,15.487082296118
2013-12-06,15.79682394204
2013-12-09,15.79682394204
2013-12-10,15.79682394204
2013-12-11,15.79682394204
2013-12-12,15.693576726733
2013-12-13,15.674804505768
2013-12-16,15.632567008597
2013-12-17,15.768665610593
2013-12-18,15.98454615169
2013-12-19,15.843754494453
2013-12-20,16.13472391941
2013-12-23,16.43507945485
2013-12-24,16.32244612906
2013-12-26,16.369376681473
2013-12-27,16.35999057099
2013-12-30,16.416307233885
2013-12-31,16.594643333052
2014-01-02,16.47262389678
2014-01-03,16.43507945485
2014-01-06,16.228585024235
2014-01-07,16.303673908095
2014-01-08,16.350604460508
2014-01-09,16.331832239543
2014-01-10,16.39753501292
2014-01-13,16.256743355683
2014-01-14,16.54771278064
2014-01-15,16.829296095115
2014-01-16,16.54771278064
2014-01-17,16.47262389678
2014-01-21,16.528940559675
2014-01-22,16.575871112087
2014-01-23,16.453851675815
2014-01-24,16.115951698445
2014-01-27,15.693576726733
2014-01-28,15.72173505818
2014-01-29,15.702962837215
2014-01-30,15.749893389628
2014-01-31,15.787437831558
2014-02-03,15.731121168663
2014-02-04,15.749893389628
2014-02-05,15.853140604935
2014-02-06,16.003318372655
2014-02-07,16.125337808928
2014-02-10,16.191040582305
2014-02-11,16.688504437877
2014-02-12,16.81052387415
