Date,ACN
2013-02-14,65.51726680023
2013-02-15,66.440045205867
2013-02-19,67.55096289809
2013-02-20,67.192602352212
2013-02-21,66.162315782811
2013-02-22,67.013422079273
2013-02-25,66.216069864693
2013-02-26,66.144397755517
2013-02-27,66.664020547041
2013-02-28,66.619225478806
2013-03-01,67.031340106567
2013-03-04,67.407618679739
2013-03-05,68.912732972428
2013-03-06,69.35172464113
2013-03-07,69.495068859481
2013-03-08,70.193871923944
2013-03-11,70.149076855709
2013-03-12,69.898224473594
2013-03-13,69.817593350772
2013-03-14,70.113240801121
2013-03-15,68.626044535726
2013-03-18,68.814183822312
2013-03-19,68.249765962553
2013-03-20,68.527495385609
2013-03-21,66.565471396925
2013-03-22,66.189192823752
2013-03-25,65.768119182345
2013-03-26,66.780487724452
2013-03-27,67.085094188448
2013-03-28,68.061626675967
2013-04-01,67.954118512204
2013-04-02,68.688757631254
2013-04-03,68.626044535726
2013-04-04,68.635003549373
2013-04-05,68.312479058082
2013-04-08,68.581249467491
2013-04-09,68.276643003494
2013-04-10,69.719044200655
2013-04-11,70.416144110206
2013-04-12,69.918215603384
2013-04-15,68.116619733246
2013-04-16,70.153599988427
2013-04-17,69.438393587719
2013-04-18,68.415376837339
2013-04-19,67.663957454317
2013-04-22,67.845022365889
2013-04-23,69.076263764576
2013-04-24,70.443303846942
2013-04-25,71.819397174886
2013-04-26,71.212829721121
2013-04-29,73.448981379031
2013-04-30,73.729631991967
2013-05-01,72.217739980343
2013-05-02,71.964249104143
2013-05-03,71.973302349722
2013-05-06,71.357681650378
2013-05-07,71.565906298686
2013-05-08,72.425964628651
2013-05-09,72.507443838858
2013-05-10,72.860520416423
2013-05-13,72.353538664022
2013-05-14,72.923893135473
2013-05-15,73.114011292623
2013-05-16,72.978212608944
2013-05-17,74.453891638253
2013-05-20,74.716435760032
2013-05-21,75.051405846439
2013-05-22,74.707382514453
2013-05-23,74.707382514453
2013-05-24,74.435785147096
2013-05-28,75.223417512433
2013-05-29,75.096672074332
2013-05-30,74.997086372968
2013-05-31,74.336199445732
2013-06-03,74.327146200153
2013-06-04,73.557620325974
2013-06-05,72.04572831435
2013-06-06,72.018568577615
2013-06-07,73.240756730723
2013-06-10,73.829217693331
2013-06-11,72.797147697373
2013-06-12,72.163420506872
2013-06-13,73.403715151138
2013-06-14,72.923893135473
2013-06-17,74.644009795403
2013-06-18,75.078565583175
2013-06-19,74.082708569531
2013-06-20,71.991408840879
2013-06-21,71.882769893936
2013-06-24,71.66549200005
2013-06-25,72.118154278979
2013-06-26,72.027621823193
2013-06-27,72.62513603138
2013-06-28,65.147155183471
2013-07-01,65.273900621572
2013-07-02,65.292007112729
2013-07-03,65.798988865129
2013-07-05,66.668100440673
2013-07-08,67.419519823695
2013-07-09,67.084549737288
2013-07-10,67.310880876752
2013-07-11,68.080406750932
2013-07-12,68.370110609446
2013-07-15,69.030997536683
2013-07-16,68.161885961139
2013-07-17,68.044193768617
2013-07-18,68.297684644818
2013-07-19,68.098513242089
2013-07-22,67.89934183936
2013-07-23,67.220348420967
2013-07-24,66.740526405302
2013-07-25,66.215438161744
2013-07-26,66.197331670587
2013-07-29,65.518338252193
2013-07-30,66.758632896459
2013-07-31,66.822005615509
2013-08-01,67.763543155681
2013-08-02,67.528158770638
2013-08-05,67.202241929809
2013-08-06,66.315023863108
2013-08-07,66.088692723644
2013-08-08,66.070586232487
2013-08-09,66.568514739309
2013-08-12,65.898574566494
2013-08-13,65.980053776701
2013-08-14,64.730705886857
2013-08-15,64.757865623592
2013-08-16,64.866504570535
2013-08-19,64.884611061693
2013-08-20,65.328220095043
2013-08-21,65.916681057651
2013-08-22,67.084549737288
2013-08-23,67.003070527081
2013-08-26,66.74957965088
2013-08-27,65.400646059672
2013-08-28,65.590764216822
2013-08-29,65.835201847444
2013-08-30,65.40969930525
2013-09-03,66.161118688273
2013-09-04,66.133958951537
2013-09-05,66.994017281502
2013-09-06,66.278810880794
2013-09-09,66.613780967202
2013-09-10,67.663957454317
2013-09-11,67.89934183936
