Date,ATVI
2010-09-29,10.194248207775944
2010-09-30,10.027433237103248
2010-10-01,10.073770728956774
2010-10-04,10.184980709405238
2010-10-05,10.518610650750633
2010-10-06,10.286923191482998
2010-10-07,10.212783204517354
2010-10-08,10.296190689853702
2010-10-11,10.314725686595114
2010-10-12,10.425935667043579
2010-10-13,10.472273158897107
2010-10-14,10.639088129569803
2010-10-15,10.537145647492043
2010-10-18,10.425935667043579
2010-10-19,10.351795680077936
2010-10-20,10.268388194741588
2010-10-21,10.425935667043579
2010-10-22,10.370330676819346
2010-10-25,10.500075654009223
2010-10-26,10.4630056605264
2010-10-27,10.490808155638517
2010-10-28,10.51397690156528
2010-10-29,10.620553132828393
2010-11-01,10.555680644233455
2010-11-02,10.634454380384451
2010-11-03,10.611285634457687
