Date,ALLE
2014-09-04,51.142594854005
2014-09-05,51.289191246669
2014-09-08,51.035090832718
2014-09-09,50.565982376194
2014-09-10,50.771217325923
2014-09-11,50.87872134721
2014-09-12,49.793908041498
2014-09-15,49.725388804955
2014-09-16,50.019042675851
2014-09-17,49.979888826398
2014-09-18,49.549196482418
2014-09-19,48.805273342816
2014-09-22,48.159234826846
2014-09-23,47.885157880677
2014-09-24,47.963465579583
2014-09-25,47.190177052892
2014-09-26,47.376157837792
2014-09-29,46.984619343265
2014-09-30,46.63223469819
2014-10-01,46.759484708912
2014-10-02,46.857369332543
2014-10-03,48.100504052667
2014-10-06,47.562138622692
2014-10-07,45.604446150056
2014-10-08,46.240696203663
2014-10-09,45.712119236051
2014-10-10,45.271638429708
2014-10-13,44.361311429933
2014-10-14,44.10681140849
2014-10-15,44.75284992446
2014-10-16,45.349946128614
2014-10-17,45.761061547867
2014-10-20,45.907888483315
2014-10-21,47.209753977618
2014-10-22,46.103657730579
2014-10-23,47.425100149608
2014-10-24,48.080927127941
2014-10-27,48.110292515031
2014-10-28,49.138081063164
2014-10-29,49.226177224433
2014-10-30,51.52646587978
2014-10-31,51.966946686124
2014-11-03,52.299754406472
2014-11-04,51.996312073213
2014-11-05,51.927792836671
2014-11-06,52.289965944108
2014-11-07,51.839696675402
2014-11-10,51.565619729233
2014-11-11,51.409004331422
2014-11-12,51.389427406696
2014-11-13,51.017465836895
2014-11-14,51.164292772343
2014-11-17,51.722235127044
2014-11-18,52.730446750452
2014-11-19,52.857696761173
2014-11-20,52.945792922442
2014-11-21,53.053466008437
2014-11-24,52.808754449357
2014-11-25,52.436792879556
2014-11-26,51.937581299034
2014-11-28,52.710869825725
2014-12-01,52.564042890277
2014-12-02,53.210081406247
2014-12-03,53.533100664232
2014-12-04,53.435216040601
2014-12-05,54.374908427466
2014-12-08,53.748446836222
2014-12-09,53.836542997491
2014-12-10,53.004523696621
2014-12-11,53.043677546073
2014-12-12,52.750023675178
2014-12-15,52.642190510259
2014-12-16,52.377509105459
2014-12-17,53.044114124956
2014-12-18,53.867567384334
2014-12-19,53.906779444305
2014-12-22,54.514566373846
2014-12-23,54.583187478794
2014-12-24,54.632202553757
2014-12-26,54.553778433816
2014-12-29,54.808656823624
2014-12-30,54.563581448809
2014-12-31,54.367521148957
2015-01-02,53.96559753426
2015-01-05,53.857764369342
2015-01-06,53.769537234408
2015-01-07,54.504763358853
2015-01-08,55.239989483298
2015-01-09,54.779247778646
2015-01-12,53.906779444305
2015-01-13,54.014612609223
2015-01-14,54.240081954053
2015-01-15,52.740220660185
2015-01-16,52.318691015504
2015-01-20,51.750116145933
2015-01-21,51.877555340837
2015-01-22,53.289189499771
2015-01-23,53.406825679682
2015-01-26,52.848053825104
2015-01-27,52.740220660185
2015-01-28,53.279386484778
2015-01-29,53.710719144453
2015-01-30,52.94608397503
2015-02-02,53.416628694675
2015-02-03,53.96559753426
2015-02-04,54.534172403831
2015-02-05,55.877185457817
2015-02-06,56.41635128241
2015-02-09,55.788958322884
2015-02-10,55.759549277906
2015-02-11,55.602701038024
2015-02-12,56.622214597255
2015-02-13,57.504485946589
2015-02-17,57.406455796663
2015-02-18,54.896883958557
2015-02-19,56.484972387358
2015-02-20,57.445667856633
2015-02-23,57.190789466825
2015-02-24,57.249607556781
2015-02-25,57.39665278167
2015-02-26,57.141774391862
2015-02-27,56.592805552277
2015-03-02,57.66133418647
2015-03-03,57.347637706707
2015-03-04,57.298622631744
2015-03-05,56.965320121996
2015-03-06,56.318321132484
2015-03-09,56.847683942085
2015-03-10,56.475169372366
2015-03-11,56.769259822144
2015-03-12,57.249607556781
2015-03-13,57.112365346885
2015-03-16,57.681917821114
2015-03-17,57.289123011301
2015-03-18,58.762103548101
2015-03-19,58.929041342272
2015-03-20,60.038686679995
2015-03-23,59.803009794107
2015-03-24,59.803009794107
2015-03-25,59.223637449632
2015-03-26,59.420034854539
2015-03-27,60.127065512203
2015-03-30,60.794816688886
2015-03-31,60.068146290731
2015-04-01,59.979767458523
2015-04-02,60.343102657601
2015-04-06,60.539500062508
2015-04-07,60.460941100545
2015-04-08,60.578779543489
2015-04-09,60.333282787356
2015-04-10,60.136885382449
2015-04-13,59.194177838896
2015-04-14,58.889761861291
2015-04-15,59.400395114048
2015-04-16,59.076339395952
2015-04-17,58.035433149946
2015-04-20,58.241650425099
2015-04-21,58.732643937365
2015-04-22,59.272736800859
2015-04-23,58.663904845648
2015-04-24,59.861929015579
2015-04-27,59.498593816502
2015-04-28,59.714630961899
2015-04-29,59.45931433552
2015-04-30,60.048506550241
2015-05-01,60.343102657601
2015-05-04,61.128692277228
2015-05-05,60.392202008828
2015-05-06,60.17616486343
2015-05-07,60.382382138582
2015-05-08,61.256350590417
2015-05-11,62.041940210044
2015-05-12,60.667158375697
2015-05-13,60.627878894716
2015-05-14,60.755537207905
2015-05-15,60.676978245942
2015-05-18,60.775176948396
2015-05-19,60.716257726924
2015-05-20,60.431481489809
2015-05-21,60.294003306374
2015-05-22,60.156525122939
2015-05-26,59.793189923862
2015-05-27,60.706437856678
2015-05-28,60.824276299622
2015-05-29,61.315269811889
2015-06-01,60.922475002076
2015-06-02,61.266170460663
2015-06-03,61.678605010967
2015-06-04,60.716257726924
2015-06-05,60.784996818641
2015-06-08,60.294003306374
2015-06-09,59.852109145334
2015-06-10,60.510040451772
2015-06-11,60.539500062508
2015-06-12,60.097605901467
2015-06-15,59.861543292362
2015-06-16,59.61564474121
2015-06-17,60.16645749579
2015-06-18,60.402520104895
2015-06-19,60.658254598093
2015-06-22,61.061528221982
2015-06-23,61.061528221982
2015-06-24,61.032020395844
2015-06-25,60.71727025037
2015-06-26,60.618910829909
2015-06-29,58.917292855939
2015-06-30,59.153355465045
2015-07-01,59.222207059367
2015-07-02,58.789425609341
2015-07-06,58.582870826373
2015-07-07,58.671394304788
2015-07-08,57.520589085398
2015-07-09,58.218940970669
2015-07-10,59.281222711644
2015-07-13,59.989410538961
2015-07-14,60.510715467402
2015-07-15,59.8910511185
2015-07-16,60.264816916251
2015-07-17,60.382848220803
2015-07-20,60.658254598093
2015-07-21,59.822199524178
2015-07-22,60.068098075329
2015-07-23,60.077934017375
2015-07-24,60.422191988988
2015-07-27,60.195965321928
2015-07-28,61.36644242541
2015-07-29,62.704130543675
2015-07-30,62.163153731141
2015-07-31,62.182825615234
2015-08-03,61.661520686792
2015-08-04,61.602505034516
2015-08-05,61.848403585667
2015-08-06,61.268083004949
2015-08-07,61.6418488027
2015-08-10,62.340200687971
2015-08-11,62.123809962957
2015-08-12,62.035286484543
2015-08-13,62.251677209556
2015-08-14,62.556591412984
2015-08-17,63.618873153959
2015-08-18,63.510677791453
2015-08-19,63.176255761886
2015-08-20,61.572997208377
2015-08-21,59.389418074151
2015-08-24,57.599276621766
2015-08-25,56.01568995235
2015-08-26,58.051729955886
2015-08-27,59.517285320749
2015-08-28,59.281222711644
2015-08-31,58.632050536603
2015-09-01,57.599276621766
2015-09-02,58.346808217268
2015-09-03,58.809097493433
2015-09-04,57.756651694504
2015-09-08,59.369746190058
2015-09-09,59.212371117321
2015-09-10,59.310730537782
2015-09-11,59.635316625302
2015-09-14,59.822199524178
2015-09-15,60.728596486665
2015-09-16,60.896082881907
2015-09-17,61.122682122529
2015-09-18,60.216285160042
2015-09-21,60.807413613838
2015-09-22,59.477374592796
2015-09-23,59.694121692522
2015-09-24,59.290183915761
2015-09-25,58.758168307344
2015-09-28,56.413358773953
2015-09-29,55.240954007257
2015-09-30,56.807444409817
2015-10-01,57.694137090511
2015-10-02,57.221234327474
2015-10-05,58.137483430858
2015-10-06,57.782806358581
2015-10-07,58.758168307344
2015-10-08,58.85668971631
2015-10-09,58.787724730034
2015-10-12,58.265561262514
2015-10-13,57.989701317409
2015-10-14,57.960144894719
2015-10-15,59.447818170107
2015-10-16,59.428113888313
2015-10-19,59.093141097829
2015-10-20,61.073421418046
2015-10-21,60.364067273491
2015-10-22,63.053701738264
2015-10-23,62.787693934055
2015-10-26,63.12266672454
2015-10-27,63.546308783094
2015-10-28,64.235958645856
2015-10-29,63.55616092399
2015-10-30,64.206402223166
2015-11-02,65.76304048483
2015-11-03,64.364036477512
2015-11-04,63.743351601026
2015-11-05,63.211335992609
2015-11-06,63.319709542472
2015-11-09,62.738433229572
2015-11-10,62.393608298191
2015-11-11,64.048767968821
2015-11-12,63.723647319233
2015-11-13,62.748285370469
2015-11-16,63.763055882819
2015-11-17,63.634978051163
2015-11-18,64.876347804135
2015-11-19,65.694075498553
2015-11-20,65.526589103311
2015-11-23,64.71871354979
2015-11-24,64.216254364063
2015-11-25,65.418215553448
2015-11-27,66.1374218389
2015-11-30,66.216238966073
2015-12-01,67.024114519595
2015-12-02,66.314760375039
2015-12-03,65.12265132655
2015-12-04,66.127569698004
2015-12-07,65.408363412552
2015-12-08,64.876347804135
2015-12-09,64.216254364063
2015-12-10,64.423149322891
