Date,GOOGL
2010-09-29,264.661986197124
2010-09-30,263.7090445575732
2010-10-01,263.62378135824497
2010-10-04,261.98371864175505
2010-10-05,269.9483045554739
2010-10-06,268.002297417865
2010-10-07,265.82557809383854
2010-10-08,269.00539388055
2010-10-11,270.25424897659286
2010-10-12,271.5331969665162
2010-10-13,272.49115408838037
2010-10-14,271.30248478009867
2010-10-15,301.6561837409468
2010-10-18,309.8113579825758
2010-10-19,304.85606145691196
2010-10-20,304.9312936916133
2010-10-21,306.94250209929675
2010-10-22,307.21333814422167
2010-10-25,309.2044846226514
2010-10-26,310.2577359084707
2010-10-27,309.18943817571113
2010-10-28,310.2477049438438
2010-10-29,307.80014957489243
2010-11-01,308.45216227563765
2010-11-02,308.75309121444315
2010-11-03,311.0501821139918
2010-11-04,313.1015143801826
