Date,ARNC
2010-10-18,27.31126067159
2010-10-19,26.334373874357
2010-10-20,26.916348987602
2010-10-21,26.56300695456
2010-10-22,26.438298001722
2010-10-25,26.770855209291
2010-10-26,26.750070383818
2010-10-27,26.396728350776
2010-10-28,26.292804223411
2010-10-29,27.31126067159
2010-11-01,27.124197242333
2010-11-02,27.519108926321
2010-11-03,27.373615148009
2010-11-04,28.331900000984
2010-11-05,29.165191177483
2010-11-08,29.083945287774
2010-11-09,28.644384192171
2010-11-10,28.915203824533
2010-11-11,28.769377868646
2010-11-12,28.102744927446
2010-11-15,27.915254412734
2010-11-16,27.144460074472
2010-11-17,26.956969559759
2010-11-18,27.873589853909
2010-11-19,27.873589853909
2010-11-22,27.686099339197
2010-11-23,27.352782868597
2010-11-24,27.727763898022
2010-11-26,27.436111986247
2010-11-29,27.686099339197
2010-11-30,27.34236672889
2010-12-01,28.269403162746
2010-12-02,29.352681692196
2010-12-03,29.64433360397
2010-12-06,29.654749743677
2010-12-07,29.47767536867
2010-12-08,29.456843089258
2010-12-09,29.467259228964
2010-12-10,29.685998162795
2010-12-13,29.915153236333
2010-12-14,29.581836765733
2010-12-15,29.081862059833
2010-12-16,30.123476030458
2010-12-17,30.331798824583
2010-12-20,30.769276692245
2010-12-21,31.019264045195
2010-12-22,31.540071030507
2010-12-23,31.956716618757
2010-12-27,31.727561545219
2010-12-28,31.769226104044
2010-12-29,31.519238751094
2010-12-30,31.685896986394
2010-12-31,32.060878015819
2011-01-03,32.915001471731
2011-01-04,34.41492558943
2011-01-05,34.49825470708
2011-01-06,34.08160911883
2011-01-07,34.206602795305
2011-01-10,34.352428751193
2011-01-11,34.019112280593
2011-01-12,33.83162176588
2011-01-13,32.810840074669
2011-01-14,33.269150221743
2011-01-18,33.896201832059
2011-01-19,33.456640736456
2011-01-20,33.289982501156
2011-01-21,32.894169192319
2011-01-24,34.227435074718
2011-01-25,33.83162176588
2011-01-26,34.58158382473
2011-01-27,34.310764192368
2011-01-28,33.602466692343
2011-01-31,34.519086986493
2011-02-01,36.081507942429
