Date,AFL
2013-11-25,60.441155591176
2013-11-26,60.641956772542
2013-11-27,60.641956772542
2013-11-29,60.578065487562
2013-12-02,60.468537570453
2013-12-03,59.820497394226
2013-12-04,59.975661943464
2013-12-05,59.966534617038
2013-12-06,60.824503301057
2013-12-09,60.651084098968
2013-12-10,60.486792223305
2013-12-11,59.984789269889
2013-12-12,59.911770658484
2013-12-13,60.203845104107
2013-12-16,60.568938161136
2013-12-17,60.249481736236
2013-12-18,60.778866668928
2013-12-19,60.24035440981
2013-12-20,59.920897984909
2013-12-23,60.55981083471
2013-12-24,60.678466078245
2013-12-26,61.253487643066
2013-12-27,61.381270213026
2013-12-30,60.870139933185
2013-12-31,60.970540523868
2014-01-02,60.203845104107
2014-01-03,60.377264306196
2014-01-06,59.218093850128
2014-01-07,59.409767705069
2014-01-08,58.989910689485
2014-01-09,58.661326938159
2014-01-10,59.482786316474
2014-01-13,58.506162388921
2014-01-14,59.053801974465
2014-01-15,59.272857808683
2014-01-16,59.172457218
2014-01-17,59.062929300891
2014-01-21,59.172457218
2014-01-22,58.779982181693
2014-01-23,58.013286761932
2014-01-24,56.854116305865
2014-01-27,56.397749984578
2014-01-28,57.000153528676
2014-01-29,56.698951756627
2014-01-30,57.684703010606
2014-01-31,57.301355300725
2014-02-03,55.421126057025
2014-02-04,56.105675538955
2014-02-05,56.370368005301
2014-02-06,56.342986026024
2014-02-07,57.210082036468
2014-02-10,56.981898875825
2014-02-11,56.963644222973
2014-02-12,57.6116843992
2014-02-13,57.648408978897
2014-02-14,57.960567906319
2014-02-18,57.868756457077
2014-02-19,57.327068906551
2014-02-20,57.767763862911
2014-02-21,57.21689516746
2014-02-24,57.198532877612
2014-02-25,57.400518065944
2014-02-26,57.473967225337
2014-02-27,58.190096529423
2014-02-28,58.832776674115
2014-03-03,58.77768980457
2014-03-04,59.796796891154
2014-03-05,59.686623152064
2014-03-06,59.879427195471
2014-03-07,60.237491847514
2014-03-10,60.173223833045
2014-03-11,59.631536282519
2014-03-12,59.576449412974
2014-03-13,58.924588123357
2014-03-14,58.860320108888
2014-03-17,58.594066906087
2014-03-18,59.043943007371
2014-03-19,58.171734239575
2014-03-20,58.034017065712
2014-03-21,57.822850732456
2014-03-24,57.556597529655
2014-03-25,57.786126152759
2014-03-26,57.574959819503
2014-03-27,57.17098944284
2014-03-28,57.529054094882
2014-03-31,57.877937602001
2014-04-01,58.135009659878
2014-04-02,58.263545688816
2014-04-03,58.77768980457
2014-04-04,58.098285080181
2014-04-07,56.66602647201
2014-04-08,57.244438602233
2014-04-09,57.83203187738
2014-04-10,56.702751051707
2014-04-11,55.848904573758
2014-04-14,56.179425791029
2014-04-15,56.583396167692
