Date,AGN
2012-09-06,82.08662161218
2012-09-07,82.680090379107
2012-09-10,82.680090379107
2012-09-11,81.908580982102
2012-09-12,81.10739814675
2012-09-13,81.997601297141
2012-09-14,80.968922101133
2012-09-17,80.504038233707
2012-09-18,82.027274735487
2012-09-19,82.818566424724
2012-09-20,83.303232584381
2012-09-21,82.986715908686
2012-09-24,82.432811726221
2012-09-25,82.254771096143
2012-09-26,81.928363274333
2012-09-27,82.798784132493
2012-09-28,84.233000319234
2012-10-01,84.213218027003
2012-10-02,84.500061264351
2012-10-03,85.489175875897
2012-10-04,86.240902980672
2012-10-05,86.903609770408
2012-10-08,86.873936332061
2012-10-09,86.231011834556
2012-10-10,86.379379026288
2012-10-11,85.944168597208
2012-10-12,85.726563382668
2012-10-15,86.171664957864
2012-10-16,88.308152518802
2012-10-17,87.07175925437
2012-10-18,86.873936332061
2012-10-19,85.963950889439
2012-10-22,86.488181633558
2012-10-23,85.073747739048
2012-10-24,84.964945131778
2012-10-25,85.944168597208
2012-10-26,85.696889944322
2012-10-31,85.014400862355
2012-11-01,86.755242578676
2012-11-02,85.785910259361
2012-11-05,85.568305044821
2012-11-06,86.488181633558
2012-11-07,86.043080058363
2012-11-08,84.7869045017
2012-11-09,84.183544588657
2012-11-12,84.322020634273
2012-11-13,83.560402383383
2012-11-14,82.106403904411
2012-11-15,81.819560667063
2012-11-16,82.492158602914
2012-11-19,84.064850835271
2012-11-20,84.272564903696
2012-11-21,84.331911780389
2012-11-23,85.142985761856
2012-11-26,85.54852275259
2012-11-27,86.577201948597
2012-11-28,86.161773811748
2012-11-29,86.814589455368
2012-11-30,87.051976962139
2012-12-03,87.061868108255
2012-12-04,87.338820199488
2012-12-05,87.111323838832
2012-12-06,87.012412377678
2012-12-07,87.655336875182
2012-12-10,87.378384783949
2012-12-11,88.802709824575
2012-12-12,87.952071258646
2012-12-13,87.200344153871
2012-12-14,86.784916017022
2012-12-17,87.032194669908
2012-12-18,88.832383262922
2012-12-19,87.932288966415
2012-12-20,89.218137961425
2012-12-21,89.861062458929
2012-12-24,89.376396299272
2012-12-26,88.515866587227
2012-12-27,88.238914495994
2012-12-28,88.070765012032
2012-12-31,85.063856592932
2013-01-02,83.293341438266
2013-01-03,84.984727424009
2013-01-04,84.37147636485
2013-01-07,84.727557625007
2013-01-08,85.736454528784
2013-01-09,86.507963925789
2013-01-10,87.032194669908
2013-01-11,82.798784132493
2013-01-14,83.184538830996
2013-01-15,84.322020634273
2013-01-16,83.619749260076
2013-01-17,83.649422698422
2013-01-18,84.549516994929
2013-01-22,84.331911780389
2013-01-23,84.796795647815
2013-01-24,85.489175875897
2013-01-25,83.352688314958
2013-01-28,83.342797168843
2013-01-29,84.905598255085
2013-01-30,84.945162839547
2013-01-31,85.449611291435
2013-02-01,86.923392062638
2013-02-04,85.706781090437
2013-02-05,85.597978483167
2013-02-06,86.122209227286
2013-02-07,86.181556103979
2013-02-08,86.498072779674
2013-02-11,85.716672236553
2013-02-12,84.846251378392
2013-02-13,85.785910259361
2013-02-14,85.54852275259
2013-02-15,84.312129488158
2013-02-19,83.886810205193
2013-02-20,82.19542421945
2013-02-21,82.838348716955
2013-02-22,82.531723187375
2013-02-25,82.234988803912
2013-02-26,83.748334159577
2013-02-27,84.945162839547
2013-02-28,84.233000319234
2013-03-01,84.608863871621
2013-03-04,85.261679515242
2013-03-05,85.518849314244
2013-03-06,85.914495158862
2013-03-07,85.696889944322
2013-03-08,86.606875386944
2013-03-11,87.408058222296
2013-03-12,89.11922650027
2013-03-13,90.583116125358
2013-03-14,90.088558819585
2013-03-15,90.593007271473
2013-03-18,89.55443692935
2013-03-19,88.822492116806
2013-03-20,88.881838993499
2013-03-21,89.139008792501
2013-03-22,89.326940568695
2013-03-25,90.078667673469
2013-03-26,90.0984499657
2013-03-27,90.078667673469
2013-03-28,91.107346869477
2013-04-01,91.453536983518
2013-04-02,95.627600644241
2013-04-03,94.232949041961
2013-04-04,94.796744370542
2013-04-05,96.132049096129
2013-04-08,97.289313191638
2013-04-09,96.646388694133
2013-04-10,96.15183138836
2013-04-11,96.69584442471
2013-04-12,96.270525141746
2013-04-15,94.984676146736
2013-04-16,95.914443881589
2013-04-17,96.666170986364
2013-04-18,95.627600644241
2013-04-19,97.408006945023
2013-04-22,96.784864739749
2013-04-23,97.694850182371
2013-04-24,97.210184022714
2013-04-25,97.813543935757
2013-04-26,99.841228889426
2013-04-29,104.430720687
2013-04-30,104.57908787873
2013-05-01,103.25367429926
2013-05-02,105.3308149835
2013-05-03,105.30114154516
2013-05-06,106.0330863577
2013-05-07,106.05286864993
2013-05-08,106.12210667274
2013-05-09,105.6473316592
2013-05-10,118.55527733987
2013-05-13,119.20809298349
2013-05-14,120.35546593288
2013-05-15,122.53151807828
2013-05-16,122.26445713317
2013-05-17,124.13388374899
2013-05-20,125.76592285804
2013-05-21,128.78272242325
2013-05-22,128.62446408541
2013-05-23,126.68579944678
2013-05-24,125.84505202696
2013-05-28,123.41183008256
2013-05-29,121.28523366774
2013-05-30,122.87770819233
2013-05-31,121.94794045747
2013-06-03,122.22489254871
2013-06-04,118.60473307045
2013-06-05,119.03005235341
2013-06-06,120.67198260858
2013-06-07,122.76890558506
2013-06-10,123.67889102768
2013-06-11,123.72834675825
2013-06-12,122.44249776325
2013-06-13,125.08343377607
2013-06-14,125.07354262996
2013-06-17,123.57997956652
2013-06-18,124.30203323295
2013-06-19,122.36336859432
2013-06-20,118.91135860003
2013-06-21,120.19720759504
2013-06-24,118.91135860003
2013-06-25,120.21698988727
2013-06-26,121.94794045747
2013-06-27,124.48996500915
2013-06-28,124.8460462693
2013-07-01,124.0745368723
2013-07-02,122.48206234771
2013-07-03,122.64032068555
2013-07-05,124.99441346103
2013-07-08,125.11310721442
2013-07-09,124.34159781741
2013-07-10,122.71944985448
2013-07-11,123.63932644322
2013-07-12,124.80648168484
2013-07-15,123.81736707329
2013-07-16,121.50283888228
2013-07-17,120.7511117775
2013-07-18,122.99640194571
2013-07-19,124.05475458007
2013-07-22,126.53743225504
2013-07-23,125.0339780455
2013-07-24,125.37027701342
2013-07-25,127.44741769767
2013-07-26,131.26540009823
2013-07-29,133.01613296067
2013-07-30,133.90633611106
2013-07-31,132.80841889224
2013-08-01,134.30198195568
2013-08-02,134.41078456295
2013-08-05,135.36033459003
2013-08-06,134.14372361783
2013-08-07,133.95579184164
2013-08-08,132.95678608398
2013-08-09,132.41277304763
2013-08-12,131.78963084235
2013-08-13,133.17439129852
2013-08-14,136.43846951662
2013-08-15,133.40188765917
2013-08-16,133.05569754513
2013-08-19,133.06558869125
2013-08-20,133.62938401983
2013-08-21,132.16495241413
2013-08-22,133.2830657347
2013-08-23,132.48158627482
2013-08-26,133.72833210129
2013-08-27,130.04746347076
2013-08-28,130.72031042473
2013-08-29,133.94601788052
2013-08-30,133.75801652573
2013-09-03,135.49950275953
2013-09-04,137.53783323773
2013-09-05,138.58668290127
2013-09-06,135.94476912613
2013-09-09,134.47044271229
2013-09-10,134.25275693306
2013-09-11,133.72833210129
2013-09-12,134.95528831147
2013-09-13,134.16370365974
2013-09-16,135.37087025363
2013-09-17,136.24161337053
2013-09-18,137.6367813192
2013-09-19,136.94414474894
2013-09-20,134.07465038642
2013-09-23,137.14204091187
2013-09-24,137.86436190657
2013-09-25,137.62688651105
2013-09-26,141.16922782754
2013-09-27,142.78208155543
2013-09-30,142.48523731103
2013-10-01,143.57366620716
2013-10-02,144.84020164993
2013-10-03,142.97008291022
2013-10-04,145.35473167355
2013-10-07,142.64355424138
2013-10-08,138.32941788946
2013-10-09,135.85571585281
2013-10-10,139.20016100636
2013-10-11,140.21932624546
2013-10-14,140.15995739658
2013-10-15,139.06163369231
2013-10-16,142.53471135177
2013-10-17,145.32504724911
2013-10-18,145.37452128984
2013-10-21,145.05788742915
2013-10-22,145.3448368654
2013-10-23,144.21682873669
2013-10-24,144.87978088251
2013-10-25,146.59158269187
2013-10-28,144.3256716263
2013-10-29,152.64720527759
2013-10-30,154.98238000019
2013-10-31,152.95394433014
2013-11-01,156.45670641403
2013-11-04,155.74428022748
2013-11-05,154.88343191872
2013-11-06,154.44806036027
2013-11-07,152.78573259164
2013-11-08,155.08132808166
2013-11-11,158.5939849737
2013-11-12,159.95946849793
2013-11-13,161.16663509181
2013-11-14,161.71084953988
2013-11-15,163.53149423885
2013-11-18,161.28537278957
2013-11-19,159.20682548759
2013-11-20,161.53281889695
2013-11-21,161.28537278957
2013-11-22,163.14616751706
2013-11-25,161.25567925669
2013-11-26,160.86966332918
2013-11-27,162.02771111171
2013-11-29,161.40414692112
2013-12-02,161.71098009427
2013-12-03,160.95874392783
2013-12-04,159.40478237349
2013-12-05,161.2358835681
2013-12-06,165.02675793314
2013-12-09,164.46258080832
2013-12-10,161.87924344728
2013-12-11,158.74162680572
2013-12-12,157.7518423762
2013-12-13,158.18734752519
2013-12-16,158.02898201647
2013-12-17,158.25663243526
2013-12-18,163.21545242713
2013-12-19,163.60146835464
2013-12-20,160.84986764059
2013-12-23,164.26462392242
2013-12-24,163.21545242713
2013-12-26,163.93799506068
2013-12-27,163.45300069021
2013-12-30,163.94789290497
2013-12-31,166.28378415863
2014-01-02,166.3332733801
2014-01-03,166.30357984722
2014-01-06,166.21449924856
2014-01-07,168.16437457471
2014-01-08,175.30072031152
2014-01-09,178.10181024704
2014-01-10,181.44728161881
2014-01-13,179.43801922689
2014-01-14,184.09990388991
2014-01-15,179.94280928594
2014-01-16,178.87384210207
2014-01-17,181.40769024163
2014-01-21,183.94153838119
2014-01-22,183.5060332322
2014-01-23,181.29881395438
2014-01-24,175.37990306588
2014-01-27,176.87447755444
2014-01-28,182.2787005396
2014-01-29,178.91343347925
2014-01-30,184.78285514627
2014-01-31,187.04946148987
2014-02-03,180.21005108191
2014-02-04,183.16950652616
2014-02-05,181.94217383356
2014-02-06,180.99198078123
2014-02-07,186.28732747914
2014-02-10,186.83170891537
2014-02-11,189.29627214487
2014-02-12,188.02934807509
2014-02-13,189.67239022808
2014-02-14,189.91983633546
2014-02-18,199.41186901452
2014-02-19,208.40900947881
2014-02-20,218.11879473236
2014-02-21,216.17881725051
2014-02-24,220.09836359139
2014-02-25,222.70149664102
2014-02-26,224.9878986732
2014-02-27,224.87899843183
2014-02-28,218.61228454201
2014-03-03,216.63228015344
2014-03-04,223.85929617172
2014-03-05,222.30499272669
2014-03-06,211.81096946727
2014-03-07,211.04866777767
2014-03-10,206.59365790339
2014-03-11,207.99946101927
2014-03-12,210.25666602224
2014-03-13,208.7914627747
2014-03-14,212.37527071801
2014-03-17,212.05847001584
2014-03-18,216.49367984624
2014-03-19,214.31567501881
2014-03-20,213.56327335115
2014-03-21,207.27675941744
2014-03-24,204.22755265904
2014-03-25,204.20775261516
2014-03-26,200.91104530819
2014-03-27,200.84174515459
2014-03-28,201.73274712945
2014-03-31,203.79195169356
2014-04-01,207.1282590883
2014-04-02,206.68275810087
2014-04-03,204.9106541731
2014-04-04,199.29734173151
2014-04-07,192.93162762225
2014-04-08,189.16961928397
2014-04-09,199.84184293836
2014-04-10,189.37751974477
2014-04-11,186.94211434683
