Date,AOS
2010-10-15,13.362378809614
2010-10-18,13.22249463124
2010-10-19,12.979417206524
2010-10-20,13.08719681937
2010-10-21,13.172044599695
2010-10-22,13.194976432216
2010-10-25,13.059678620345
2010-10-26,13.000055855792
2010-10-27,12.981710389776
2010-10-28,12.85971913966
2010-10-29,12.896546686865
2010-11-01,12.880434634962
2010-11-02,13.165848125801
2010-11-03,13.170451569202
2010-11-04,13.766597489584
2010-11-05,13.759692324483
2010-11-08,13.780407819785
2010-11-09,13.363796192028
2010-11-10,13.511106380849
2010-11-11,13.437451286439
2010-11-12,13.204977394707
2010-11-15,13.241804941912
2010-11-16,8.6659822016857
2010-11-17,8.7166200790926
2010-11-18,8.6636804799854
2010-11-19,8.6429649846826
2010-11-22,8.5347840647678
2010-11-23,8.463430692058
