Date,APH
2012-08-13,29.517265380212
2012-08-14,29.550693766826
2012-08-15,29.469510542192
2012-08-16,29.765590537916
2012-08-17,29.794243440728
2012-08-20,29.684407313282
2012-08-21,29.579346669638
2012-08-22,29.111349257041
2012-08-23,29.106573773239
2012-08-24,29.445633123182
2012-08-27,29.431306671776
2012-08-28,29.025390548605
2012-08-29,29.034941516209
2012-08-30,28.805718293712
2012-08-31,29.068369902823
2012-09-04,29.302368609121
2012-09-05,28.834371196525
2012-09-06,29.4886124774
2012-09-07,29.622326023856
2012-09-10,29.433694413677
2012-09-11,29.381074449667
2012-09-12,29.30931995329
2012-09-13,29.864221391936
2012-09-14,30.222993873819
2012-09-17,30.179941175993
2012-09-18,29.95511042068
2012-09-19,29.854654125753
2012-09-20,29.60590520498
2012-09-21,29.60590520498
2012-09-24,29.041436500151
2012-09-25,28.787903946287
2012-09-26,28.319107903294
2012-09-27,28.357376968028
2012-09-28,28.166031644357
2012-10-01,27.63504837117
2012-10-02,27.730721033005
2012-10-03,27.855095493392
2012-10-04,27.721153766822
2012-10-05,28.108628047256
2012-10-08,27.898148191218
2012-10-09,27.984253586869
2012-10-10,27.912499090493
2012-10-11,27.984253586869
2012-10-12,28.017739018512
2012-10-15,28.223435241458
2012-10-16,28.783120313195
2012-10-17,29.433694413677
2012-10-18,29.548501607879
2012-10-19,29.232781823822
2012-10-22,29.448045312952
2012-10-23,29.180161859813
2012-10-24,28.663529485901
2012-10-25,28.749634881553
2012-10-26,28.763985780828
2012-10-31,28.763985780828
2012-11-01,29.204080025271
2012-11-02,29.098840097252
2012-11-05,29.538934341696
2012-11-06,29.706361499908
2012-11-07,29.132325528895
2012-11-08,28.869225708847
2012-11-09,29.19929639218
2012-11-12,29.366723550392
2012-11-13,29.003167435417
2012-11-14,28.333458802569
2012-11-15,28.089493514888
2012-11-16,28.280838838559
2012-11-19,28.940980205224
2012-11-20,28.90271114049
2012-11-21,29.060571032518
2012-11-23,29.428910780585
2012-11-26,29.558068874063
2012-11-27,29.208863658363
2012-11-28,29.448045312952
2012-11-29,29.65852516899
2012-11-30,29.620256104256
2012-12-03,29.204080025271
2012-12-04,29.161027327445
2012-12-05,29.165810960537
2012-12-06,29.232781823822
2012-12-07,29.481530744594
2012-12-10,29.660916985536
2012-12-11,30.096966007456
2012-12-12,30.135299987405
2012-12-13,30.001131057583
2012-12-14,29.967588825128
2012-12-17,30.55218201935
2012-12-18,30.997814536257
2012-12-19,31.074482496155
2012-12-20,31.151150456053
2012-12-21,31.122399971091
2012-12-24,31.007398031244
2012-12-26,30.916354828865
2012-12-27,30.954688808814
2012-12-28,30.470722311958
2012-12-31,31.002606283751
2013-01-02,32.622216936596
2013-01-03,32.20533490465
2013-01-04,32.075957722322
2013-01-07,32.119083449765
2013-01-08,31.956164034982
2013-01-09,32.349087329459
2013-01-10,32.512006744242
2013-01-11,32.761177613911
2013-01-14,32.670134411532
2013-01-15,32.751594118924
2013-01-16,32.708468391481
2013-01-17,32.502423249255
2013-01-18,32.377837814421
2013-01-22,32.492839754268
2013-01-23,32.420963541863
2013-01-24,32.464089269306
2013-01-25,32.440130531838
2013-01-28,32.25804412708
2013-01-29,32.478464511787
2013-01-30,32.483256259281
2013-01-31,32.377837814421
2013-02-01,32.809095088847
2013-02-04,32.344295581965
2013-02-05,33.010348483579
2013-02-06,33.326603818158
2013-02-07,33.297853333197
2013-02-08,33.753069345091
2013-02-11,33.73869410261
2013-02-12,33.733902355117
2013-02-13,33.594941677801
2013-02-14,33.590149930308
2013-02-15,33.743485850104
2013-02-19,33.968697982304
2013-02-20,33.297853333197
2013-02-21,33.197226635831
2013-02-22,33.925572254862
2013-02-25,33.144517413401
2013-02-26,33.585358182814
2013-02-27,33.868071284938
2013-02-28,33.954322739823
2013-03-01,34.361621276781
2013-03-04,34.486206711616
2013-03-05,34.778503308727
2013-03-06,34.879130006093
2013-03-07,34.749752823765
2013-03-08,35.094758643306
2013-03-11,35.092362769559
2013-03-12,34.866827277946
2013-03-13,34.981994337493
2013-03-14,35.149946299333
2013-03-15,34.737264335955
2013-03-18,34.775653355804
2013-03-19,34.71806982603
2013-03-20,35.106758652003
2013-03-21,34.910014925276
2013-03-22,35.135550416889
2013-03-25,34.838035513059
2013-03-26,35.121154534446
2013-03-27,35.101960024521
2013-03-28,35.821754146692
2013-04-01,35.279509241323
2013-04-02,35.370683163465
2013-04-03,35.183536691701
2013-04-04,35.14034904437
2013-04-05,34.574111001596
2013-04-08,35.049175122229
2013-04-09,35.029980612304
2013-04-10,35.682593949739
2013-04-11,35.879337676466
2013-04-12,35.26511335888
2013-04-15,34.310186490134
2013-04-16,35.274710613842
2013-04-17,34.6748821787
2013-04-18,34.660486296257
2013-04-19,34.924410807719
2013-04-22,35.413870810795
2013-04-23,35.500246105456
2013-04-24,35.68739257722
2013-04-25,36.128866305485
2013-04-26,35.653802184852
2013-04-29,35.94171983372
2013-04-30,36.239234737551
2013-05-01,36.244033365032
2013-05-02,36.368797679542
2013-05-03,37.026209644458
2013-05-06,37.026209644458
2013-05-07,37.376509450581
2013-05-08,37.419697097911
2013-05-09,37.549260039902
2013-05-10,38.528180046054
2013-05-13,38.312241809402
2013-05-14,38.782507302554
2013-05-15,39.041633186535
2013-05-16,39.070424951422
2013-05-17,39.967768290395
2013-05-20,39.31515495296
2013-05-21,38.868882597214
2013-05-22,37.256543763552
2013-05-23,37.429294352873
2013-05-24,37.592447687232
2013-05-28,37.741205139147
2013-05-29,37.539662784939
2013-05-30,37.645232589524
2013-05-31,37.381308078062
2013-06-03,37.765198276553
2013-06-04,37.294932783401
2013-06-05,36.82466729025
2013-06-06,37.07899454675
2013-06-07,37.294932783401
2013-06-10,37.393304646765
2013-06-11,36.879158720627
2013-06-12,36.56202198114
2013-06-13,37.018506681917
2013-06-14,36.614878104388
2013-06-17,37.96030669615
2013-06-18,38.094849555326
2013-06-19,37.609534241869
2013-06-20,36.331377079695
2013-06-21,36.706175044543
2013-06-24,36.019045442322
2013-06-25,36.706175044543
2013-06-26,37.249151583361
2013-06-27,38.162120984914
2013-06-28,37.450965872126
2013-07-01,37.720051590478
2013-07-02,37.705636284138
2013-07-03,37.912255675016
2013-07-05,38.56094446033
2013-07-08,38.671461808939
2013-07-09,39.281709777345
2013-07-10,39.752609784462
2013-07-11,40.905834291687
2013-07-12,41.025961844523
2013-07-15,40.804927147305
2013-07-16,40.497400612045
2013-07-17,40.636748573334
2013-07-18,36.686954636089
2013-07-19,36.893574026967
2013-07-22,37.724856692592
2013-07-23,37.441355667899
2013-07-24,37.436550565785
2013-07-25,37.253956685475
2013-07-26,37.244346481248
2013-07-29,37.17707505166
2013-07-30,37.465381178466
2013-07-31,37.748882203159
2013-08-01,38.378350580019
2013-08-02,38.003552615171
2013-08-05,38.138095474347
2013-08-06,37.840179143314
2013-08-07,37.215515868567
2013-08-08,37.220320970681
2013-08-09,37.273177093929
2013-08-12,37.234736277021
2013-08-13,37.186685255887
2013-08-14,36.903184231194
2013-08-15,36.081511769796
2013-08-16,35.937358706393
2013-08-19,35.615416864793
2013-08-20,36.292936262788
2013-08-21,36.312156671241
2013-08-22,37.393304646765
2013-08-23,37.383694442538
2013-08-26,37.018506681917
2013-08-27,36.119952586704
2013-08-28,36.56202198114
2013-08-29,36.686954636089
2013-08-30,36.40825871351
2013-09-03,36.206444424746
2013-09-04,36.691759738203
2013-09-05,36.340987283922
2013-09-06,36.110342382477
2013-09-09,36.710980146657
2013-09-10,37.587804081918
2013-09-11,37.631163507288
2013-09-12,37.448090377948
2013-09-13,37.236110965027
2013-09-16,37.616710365498
2013-09-17,37.635981221218
2013-09-18,37.741970927678
2013-09-19,37.905773201298
2013-09-20,36.980772126737
2013-09-23,37.289105818257
2013-09-24,37.255381820747
2013-09-25,37.476996661528
2013-09-26,37.568533226198
2013-09-27,37.356553813278
2013-09-30,37.279470390397
2013-10-01,37.395095524718
2013-10-02,37.361371527208
2013-10-03,36.735068716307
2013-10-04,36.850693850627
2013-10-07,36.523089303386
2013-10-08,36.050953338246
2013-10-09,36.465276736226
2013-10-10,36.701344718797
2013-10-11,37.120485830707
2013-10-14,37.144574400357
2013-10-15,37.313194387907
2013-10-16,38.084028616709
2013-10-17,39.08129540022
2013-10-18,39.664238785751
2013-10-21,39.669056499681
2013-10-22,39.500436512131
2013-10-23,39.293274813141
2013-10-24,39.16319653703
2013-10-25,39.15356110917
2013-10-28,38.89340455695
2013-10-29,38.99457654948
2013-10-30,38.74405542512
2013-10-31,38.68142514403
2013-11-01,38.507987442549
2013-11-04,38.68142514403
2013-11-05,38.445357161459
2013-11-06,38.9656702659
2013-11-07,38.67178971617
2013-11-08,39.18728510668
2013-11-11,39.06684225843
2013-11-12,39.20173824847
2013-11-13,39.355905094231
2013-11-14,39.852129629021
