Date,ABBV
2013-10-16,40.918341342547
2013-10-17,41.883478590533
2013-10-18,42.022597473125
2013-10-21,42.039987333449
2013-10-22,42.605157793982
2013-10-23,42.022597473125
2013-10-24,41.674800266644
2013-10-25,42.866005698843
2013-10-28,42.970344860787
2013-10-29,43.292057276783
2013-10-30,42.431259190741
2013-10-31,42.12693663507
2013-11-01,42.570378073334
2013-11-04,42.396479470093
2013-11-05,41.883478590533
2013-11-06,41.779139428588
2013-11-07,41.074850085463
2013-11-08,41.761749568264
2013-11-11,42.231275797014
2013-11-12,41.283528409352
2013-11-13,41.605240825347
2013-11-14,41.770444498426
2013-11-15,42.118241704908
2013-11-18,42.492123701875
2013-11-19,42.135631565232
2013-11-20,41.692190126968
2013-11-21,42.231275797014
2013-11-22,42.552988213009
2013-11-25,42.092156914422
2013-11-26,42.2573605875
2013-11-27,41.953038031829
2013-11-29,42.12693663507
2013-12-02,42.074767054097
2013-12-03,43.448566019699
2013-12-04,43.187718114838
2013-12-05,43.265972486297
2013-12-06,44.64846638206
2013-12-09,44.526737359792
2013-12-10,45.335365864861
2013-12-11,45.796197163449
2013-12-12,45.552739118912
2013-12-13,45.535349258588
2013-12-16,46.404842274792
2013-12-17,46.630910459005
2013-12-18,47.230860640185
2013-12-19,45.761417442801
2013-12-20,45.726637722153
2013-12-23,45.717942791991
2013-12-24,45.526654328426
2013-12-26,46.074434928634
2013-12-27,45.691858001505
2013-12-30,46.091824788959
2013-12-31,45.917926185718
2014-01-02,45.196246982269
2014-01-03,45.474484747454
2014-01-06,43.813753086505
2014-01-07,43.900702388125
2014-01-08,43.787668296019
2014-01-09,44.535432289954
2014-01-10,44.257194524769
2014-01-13,43.674634203912
2014-01-14,44.349518176158
2014-01-15,43.920046557456
2014-01-16,44.261870907035
2014-01-17,43.876222922895
2014-01-21,43.823634561421
2014-01-22,43.017279685491
2014-01-23,42.833220420333
2014-01-24,41.886629913806
2014-01-27,41.045216130227
2014-01-28,41.798982644683
2014-01-29,41.728864829385
2014-01-30,42.342395713245
2014-01-31,43.148750589175
2014-02-03,41.500981929666
2014-02-04,42.026865544403
2014-02-05,41.834041552333
2014-02-06,42.009336090578
2014-02-07,42.850749874158
2014-02-10,43.429221850368
2014-02-11,43.525633846403
2014-02-12,44.314459268509
2014-02-13,44.130400003351
2014-02-14,44.463459626018
2014-02-18,45.103284690615
2014-02-19,44.866637063983
2014-02-20,45.453873767106
2014-02-21,44.735166160299
2014-02-24,44.568636348965
2014-02-25,44.454694899106
2014-02-26,44.47222435293
2014-02-27,44.621224710439
2014-02-28,44.621224710439
2014-03-03,43.902517103632
2014-03-04,45.217226140474
2014-03-05,45.313638136509
2014-03-06,45.611638851527
2014-03-07,45.103284690615
2014-03-10,45.27857922886
2014-03-11,45.357461771071
2014-03-12,45.261049775036
2014-03-13,44.980578513843
2014-03-14,44.884166517807
2014-03-17,45.559050490053
2014-03-18,46.540699904229
2014-03-19,46.549464631141
2014-03-20,47.049054065142
2014-03-21,46.856230073071
2014-03-24,45.015637421492
2014-03-25,45.304873409597
2014-03-26,45.138343598264
2014-03-27,45.27857922886
2014-03-28,44.682577798825
2014-03-31,45.050696329141
2014-04-01,45.664227213001
2014-04-02,46.751053350124
2014-04-03,46.891288980721
2014-04-04,45.751874482124
2014-04-07,44.367047629983
2014-04-08,43.034809139316
2014-04-09,44.375812356895
2014-04-10,41.500981929666
2014-04-11,41.089039764788
2014-04-14,41.416266297569
2014-04-15,42.327194213146
2014-04-16,42.557137182127
2014-04-17,42.93742747698
2014-04-21,43.715695987376
2014-04-22,44.22864568741
2014-04-23,44.3436171719
2014-04-24,43.618412423577
2014-04-25,43.459221137359
2014-04-28,44.989226277116
2014-04-29,45.431424294386
2014-04-30,46.05934547891
2014-05-01,45.643679342676
2014-05-02,45.263389047823
2014-05-05,45.422580334041
2014-05-06,45.024602118497
2014-05-07,46.687266663435
2014-05-08,46.121253201328
2014-05-09,46.218536765128
2014-05-12,46.315820328927
2014-05-13,46.165473003055
2014-05-14,46.758018346198
2014-05-15,46.598827059981
2014-05-16,46.811082108271
2014-05-19,47.854669429029
2014-05-20,47.350563689341
2014-05-21,47.111776760015
2014-05-22,47.430159332449
2014-05-23,47.713166063503
2014-05-27,47.748541904884
2014-05-28,47.819293587648
2014-05-29,47.783917746266
2014-05-30,48.049236556628
2014-06-02,47.890045270411
2014-06-03,48.08461239801
2014-06-04,48.270335565264
2014-06-05,48.907100710133
2014-06-06,48.730221503225
2014-06-09,47.615882499703
2014-06-10,47.730853984194
2014-06-11,47.960796953174
2014-06-12,47.456691213486
2014-06-13,47.898889230756
2014-06-16,47.75738586523
2014-06-17,48.022704675592
2014-06-18,48.261491604918
2014-06-19,47.925421111793
2014-06-20,47.138308641051
2014-06-23,47.536286856594
2014-06-24,47.394783491068
2014-06-25,48.641781899771
2014-06-26,49.977219911928
2014-06-27,50.2248508016
2014-06-30,49.915312189511
2014-07-01,50.313290405054
2014-07-02,51.392253567194
2014-07-03,51.489537130994
2014-07-07,50.76433238267
2014-07-08,49.252015163605
2014-07-09,48.650625860116
2014-07-10,49.340454767059
2014-07-11,48.977852392897
2014-07-14,48.879825395749
2014-07-15,47.623297523224
2014-07-16,47.810439972324
2014-07-17,47.694589884786
2014-07-18,48.933294666921
2014-07-21,48.122344054156
2014-07-22,48.166901780132
2014-07-23,48.550098223526
2014-07-24,48.193636415718
2014-07-25,47.391597348149
2014-07-28,47.890643879081
2014-07-29,47.614385978029
2014-07-30,47.899555424276
2014-07-31,46.643027551751
2014-08-01,46.767789184484
2014-08-04,47.489624345296
2014-08-05,47.044047085535
2014-08-06,46.384592741089
2014-08-07,46.723231458508
2014-08-08,47.070781721121
2014-08-11,47.507447435686
2014-08-12,47.088604811511
2014-08-13,47.765882246348
2014-08-14,48.291663412865
2014-08-15,48.033228602204
2014-08-18,48.398601955208
2014-08-19,49.271933384339
2014-08-20,49.066967844849
2014-08-21,48.977852392897
2014-08-22,49.191729477582
2014-08-25,49.788803005661
2014-08-26,49.681864463319
2014-08-27,49.637306737343
2014-08-28,49.54819128539
2014-08-29,49.263021839144
2014-09-02,49.075879390044
2014-09-03,49.467987378634
2014-09-04,49.494722014219
2014-09-05,49.851183822028
2014-09-08,49.521456649805
2014-09-09,50.751249886744
2014-09-10,50.965126971429
2014-09-11,51.553288954314
2014-09-12,51.580023589899
2014-09-15,51.624581315875
2014-09-16,52.221654843955
2014-09-17,53.130632453867
2014-09-18,52.979136185548
2014-09-19,52.631585922935
2014-09-22,52.319681841102
2014-09-23,51.294854143652
2014-09-24,52.622674377739
2014-09-25,51.686962132242
2014-09-26,52.747436010472
2014-09-29,52.150362482393
2014-09-30,51.473085047557
2014-10-01,51.00077315221
2014-10-02,50.501726621278
2014-10-03,52.301858750712
2014-10-06,51.517642773533
2014-10-07,50.483903530888
2014-10-08,51.989954668879
2014-10-09,50.546284347254
2014-10-10,49.361048836291
2014-10-13,48.148798228159
2014-10-14,48.606759569009
2014-10-15,49.055741275724
2014-10-16,47.502264570489
2014-10-17,47.924307374802
2014-10-20,48.85818932477
2014-10-21,50.54636054202
2014-10-22,51.094118224212
2014-10-23,53.446782367401
2014-10-24,54.138214195743
2014-10-27,54.317806878429
2014-10-28,54.712910780338
2014-10-29,53.859845537579
2014-10-30,54.937401633696
2014-10-31,56.984758216318
2014-11-03,56.796185899498
2014-11-04,56.266387485574
2014-11-05,56.158631875962
2014-11-06,56.311285656245
2014-11-07,55.224749925994
2014-11-10,57.281086142751
2014-11-11,57.334963947556
2014-11-12,57.254147240348
2014-11-13,57.137411996602
2014-11-14,57.469658459571
2014-11-17,58.403540409539
2014-11-18,59.310483457104
2014-11-19,58.816603579717
2014-11-20,58.538234921554
2014-11-21,60.486815528699
2014-11-24,60.863960162339
2014-11-25,61.1153899181
2014-11-26,61.690086502696
2014-11-28,62.139068209411
2014-12-01,62.058251502202
2014-12-02,62.201925648351
2014-12-03,61.51049382001
2014-12-04,62.471314672381
2014-12-05,62.597029550261
2014-12-08,62.336620160366
2014-12-09,62.085190404605
2014-12-10,60.684367479653
2014-12-11,60.190487602266
2014-12-12,58.610071994628
2014-12-15,58.924359189329
2014-12-16,58.59211272636
2014-12-17,59.777424432088
2014-12-18,60.98967504022
2014-12-19,60.801102723399
2014-12-22,60.136609797461
2014-12-23,57.783945654272
2014-12-24,59.454157603253
2014-12-26,60.145589431595
2014-12-29,60.289263577744
2014-12-30,59.534974310462
2014-12-31,58.762725774911
2015-01-02,59.166809310955
2015-01-05,58.053334678301
2015-01-06,57.765986386003
2015-01-07,60.100691260923
2015-01-08,60.729265650325
2015-01-09,59.068033335478
2015-01-12,59.050074067209
2015-01-13,57.361902849959
2015-01-14,57.642423277211
2015-01-15,56.90945054794
2015-01-16,58.402543144603
2015-01-20,57.416197126202
2015-01-21,56.737518673173
