Date,APA
2010-09-29,90.29244908557382
2010-09-30,90.0437603040467
2010-10-01,90.52271647587672
2010-10-04,89.35295813313799
2010-10-05,91.09377960382793
2010-10-06,91.8858994264699
2010-10-07,91.78458177473664
2010-10-08,93.51619254981445
2010-10-11,93.95830593919602
2010-10-12,93.55303533226291
2010-10-13,95.13727497754688
2010-10-14,95.08201080387418
2010-10-15,95.92018410457675
2010-10-18,97.95574783485439
2010-10-19,94.20699472072316
2010-10-20,95.37675306346189
2010-10-21,94.98011859714381
2010-10-22,93.4397010186527
2010-10-25,93.22754769945931
2010-10-26,92.58186368452293
2010-10-27,92.7110004875102
2010-10-28,92.57263962716668
2010-10-29,93.18142741267815
2010-11-01,93.16297929796568
2010-11-02,95.11847945748734
2010-11-03,94.62038036025068
2010-11-04,99.42611424284873
