Date,ADI
2010-10-18,26.049933736931
2010-10-19,25.818745735462
2010-10-20,26.041677022593
2010-10-21,25.926083021858
2010-10-22,26.429742596487
2010-10-25,26.644417169279
2010-10-26,26.41322916781
2010-10-27,27.073766314864
2010-10-28,27.189360315598
2010-10-29,27.800357176623
2010-11-01,27.907694463019
2010-11-02,28.361813751619
2010-11-03,28.617771896102
2010-11-04,29.418673186905
2010-11-05,29.336106043523
2010-11-08,29.245282185803
2010-11-09,28.956297183967
2010-11-10,28.659055467793
2010-11-11,28.13062575015
2010-11-12,28.246219750884
2010-11-15,28.114112321474
2010-11-16,27.874667605667
2010-11-17,28.006775035077
2010-11-18,28.526948038382
2010-11-19,29.047121041687
2010-11-22,29.691144760064
2010-11-23,29.48472690161
2010-11-24,30.029670047929
2010-11-26,29.608577616683
