Date,AXP
2010-10-18,35.726928698797
2010-10-19,35.507869780733
2010-10-20,35.889529132825
2010-10-21,36.377330434907
2010-10-22,35.257194111607
2010-10-25,35.501094762648
2010-10-26,36.223763358325
2010-10-27,36.747698090192
2010-10-28,37.235499392274
2010-10-29,37.452299970977
2010-11-01,37.542633545437
2010-11-02,38.292402213452
2010-11-03,38.003334775181
2010-11-04,39.502872111211
2010-11-05,39.810006264374
2010-11-08,39.656439187793
2010-11-09,39.168637885711
2010-11-10,39.34930503463
2010-11-11,39.159604528265
2010-11-12,38.572436294277
2010-11-15,38.572436294277
2010-11-16,37.876867770937
2010-11-17,37.407133183747
2010-11-18,38.165935209208
2010-11-19,38.617603081507
2010-11-22,38.13883513687
2010-11-23,37.894934485829
2010-11-24,38.843437017656
2010-11-26,38.1840019241
