Date,AMP
2010-10-18,43.505456974326
2010-10-19,42.870649722755
2010-10-20,43.378495524012
2010-10-21,43.4546723942
2010-10-22,43.183821300197
2010-10-25,43.327710943886
2010-10-26,42.802936949254
2010-10-27,43.039931656507
2010-10-28,45.223668601911
2010-10-29,43.750915778267
2010-11-01,43.488528780951
2010-11-02,44.258761579523
2010-11-03,44.174120612647
2010-11-04,45.629945242917
2010-11-05,46.725471566448
2010-11-08,46.241401795585
2010-11-09,45.417633939906
2010-11-10,45.935673519251
2010-11-11,45.612960338676
2010-11-12,44.950549073284
2010-11-15,44.670298153311
2010-11-16,43.922962366716
2010-11-17,43.719143515826
2010-11-18,44.661805701191
2010-11-19,44.508941563024
2010-11-22,44.143766121846
2010-11-23,43.557786925539
2010-11-24,44.330600068495
2010-11-26,43.999394435799
