Date,ABC
2012-04-23,34.240470114145
2012-04-24,34.249603341703
2012-04-25,34.569266306226
2012-04-26,33.76554228114
2012-04-27,33.701609688236
2012-04-30,33.984739742527
2012-05-01,34.066938790547
2012-05-02,33.984739742527
2012-05-03,33.381946723713
2012-05-04,33.034884076517
2012-05-07,32.833953070246
2012-05-08,33.02575084896
2012-05-09,32.888752435593
2012-05-10,33.409346406387
2012-05-11,33.445879316618
2012-05-14,33.473278999291
2012-05-15,33.244948310346
2012-05-16,33.51894513708
2012-05-17,33.400213178829
2012-05-18,32.987751709826
2012-05-21,33.070244003626
2012-05-22,33.226062780805
2012-05-23,33.281057643339
2012-05-24,33.418544799673
2012-05-25,33.821840458254
2012-05-29,33.464373851785
2012-05-30,33.776011406143
2012-05-31,33.904332752055
2012-06-01,33.253560212072
2012-06-04,33.372715747562
2012-06-05,33.68435330192
2012-06-06,34.183889969935
2012-06-07,33.895166941633
2012-06-08,33.968493425011
2012-06-11,33.418544799673
2012-06-12,33.913498562477
2012-06-13,33.409378989251
2012-06-14,33.876835320788
2012-06-15,34.179307064724
2012-06-18,34.655929206683
2012-06-19,34.866742846395
2012-06-20,34.793416363017
2012-06-21,34.545939481615
2012-06-22,34.76591893175
2012-06-25,34.600934344149
2012-06-26,34.56427110246
2012-06-27,34.949235140196
2012-06-28,35.508349575956
2012-06-29,36.067464011716
2012-07-02,36.52575453283
2012-07-03,36.461593859874
2012-07-05,36.168287926361
2012-07-06,35.5266811968
2012-07-09,35.655002542712
2012-07-10,35.691665784402
2012-07-11,36.012469149182
2012-07-12,35.893313613692
2012-07-13,36.333272513962
2012-07-16,36.122458874249
2012-07-17,36.470759670296
2012-07-18,36.434096428607
2012-07-19,36.415764807763
2012-07-20,35.939142665804
2012-07-23,35.425857282155
2012-07-24,35.013395813152
2012-07-25,34.784250552595
2012-07-26,34.793416363017
2012-07-27,35.435023092577
2012-07-30,35.315867557088
2012-07-31,36.388267376496
2012-08-01,36.058298201293
2012-08-02,35.627505111446
2012-08-03,36.104127253405
2012-08-06,35.948308476226
2012-08-07,36.058298201293
2012-08-08,35.471686334267
2012-08-09,35.462520523844
2012-08-10,35.462520523844
2012-08-13,35.370862419621
2012-08-14,35.095888106953
2012-08-15,34.848411225551
2012-08-16,34.44511556697
2012-08-17,34.527607860771
2012-08-20,34.683966234141
2012-08-21,34.54600296352
2012-08-22,34.877114813011
2012-08-23,34.932300121259
2012-08-24,35.042670737756
2012-08-27,34.89550991576
2012-08-28,34.490817655272
2012-08-29,34.628780925893
2012-08-30,35.042670737756
2012-08-31,35.428967895495
2012-09-04,35.668104231238
2012-09-05,35.116251148754
2012-09-06,35.539338511992
2012-09-07,35.116251148754
2012-09-10,34.978287878133
2012-09-11,34.73915154239
2012-09-12,34.858719710261
2012-09-13,35.005880532257
2012-09-14,34.362051936025
2012-09-17,34.969090326758
2012-09-18,35.235819316626
2012-09-19,35.107053597379
2012-09-20,35.254214419375
2012-09-21,35.842857707358
2012-09-24,36.201562210973
2012-09-25,35.732487090861
2012-09-26,35.548536063367
2012-09-27,35.888845464232
2012-09-28,35.603721371615
2012-10-01,35.861252810108
2012-10-02,35.898043015607
2012-10-03,35.925635669731
2012-10-04,36.201562210973
2012-10-05,36.348723032969
2012-10-08,36.587859368712
2012-10-09,36.495883854965
2012-10-10,36.229154865097
2012-10-11,36.302735276095
2012-10-12,36.33032793022
2012-10-15,36.707427536584
2012-10-16,37.480021852062
2012-10-17,37.277675721818
2012-10-18,37.415638992439
2012-10-19,37.047736937449
2012-10-22,37.18570020807
2012-10-23,36.725822639333
2012-10-24,36.477488752215
2012-10-25,36.569464265963
2012-10-26,36.183167108224
2012-10-31,36.275142621971
2012-11-01,37.636380225432
2012-11-02,37.250083067693
2012-11-05,37.0293418347
2012-11-06,37.121317348447
2012-11-07,37.489219403437
2012-11-08,37.093724694323
2012-11-09,37.222490413569
2012-11-12,36.845390807205
2012-11-13,37.443231646563
2012-11-14,36.983354077826
2012-11-15,37.130514899822
2012-11-16,37.222971361226
2012-11-19,37.620534145263
2012-11-20,37.722236252807
2012-11-21,37.768464483509
2012-11-23,38.25848372895
2012-11-26,38.323203251933
2012-11-27,38.110553390704
2012-11-28,38.092062098423
2012-11-29,38.387922774915
2012-11-30,39.035118004743
2012-12-03,39.21078528141
2012-12-04,39.525137250184
2012-12-05,39.072100589305
2012-12-06,39.349469973516
2012-12-07,39.081346235445
2012-12-10,39.044363650883
2012-12-11,39.867226157378
2012-12-12,39.488154665622
2012-12-13,39.617593711588
2012-12-14,40.089121664748
2012-12-17,40.477438802644
2012-12-18,40.59763220247
2012-12-19,40.357245402819
2012-12-20,40.495930094925
2012-12-21,40.347999756679
2012-12-24,40.181578126152
2012-12-26,39.867226157378
2012-12-27,39.968928264923
2012-12-28,39.589856773167
2012-12-31,39.922700034221
2013-01-02,40.209315064573
2013-01-03,40.126104249309
2013-01-04,40.394227987381
2013-01-07,40.523667033346
2013-01-08,40.468193156504
2013-01-09,40.468193156504
2013-01-10,40.579140910189
2013-01-11,40.532912679487
2013-01-14,40.948966755805
2013-01-15,41.670127154755
2013-01-16,41.623898924053
2013-01-17,42.086181231073
2013-01-18,42.391287553706
2013-01-22,42.178637692477
2013-01-23,42.696393876339
2013-01-24,42.271094153881
2013-01-25,41.633144570194
2013-01-28,41.707109739317
2013-01-29,42.104672523354
2013-01-30,42.141655107915
2013-01-31,41.947496538967
2013-02-01,43.019991491253
2013-02-04,42.566954830373
2013-02-05,42.788850337743
2013-02-06,42.96451761441
2013-02-07,42.899798091428
2013-02-08,43.352834752307
2013-02-11,43.232641352482
2013-02-12,43.41755427529
2013-02-13,43.315852167745
2013-02-14,43.436586747115
2013-02-15,43.278703066401
2013-02-19,43.854514137241
2013-02-20,43.287990341737
2013-02-21,43.167255762367
2013-02-22,43.603757703166
2013-02-25,42.888637502283
2013-02-26,43.250841240392
2013-02-27,43.678055905855
2013-02-28,43.835939586569
2013-03-01,44.560347062788
2013-03-04,44.811103496863
2013-03-05,44.829678047536
2013-03-06,45.024710829595
2013-03-07,44.653219816149
2013-03-08,45.024710829595
2013-03-11,45.089721756948
2013-03-12,45.182594510309
2013-03-13,45.377627292368
2013-03-14,45.776980131822
2013-03-15,45.405489118376
2013-03-18,44.857539873544
2013-03-19,46.492100332704
2013-03-20,46.659271288755
2013-03-21,46.241343898629
2013-03-22,46.269205724637
2013-03-25,46.98432592552
2013-03-26,47.105060504889
2013-03-27,47.095773229553
2013-03-28,47.783031604427
2013-04-01,47.959489835814
2013-04-02,48.674610036697
2013-04-03,48.005926212495
2013-04-04,48.126660791865
2013-04-05,48.368129950604
2013-04-08,48.878930094092
2013-04-09,49.14826107884
2013-04-10,49.501177541613
2013-04-11,49.974828583756
2013-04-12,50.318457771193
2013-04-15,50.188435916487
2013-04-16,51.033577972076
2013-04-17,51.135738000773
2013-04-18,51.488654463546
2013-04-19,51.934443679681
2013-04-22,52.194487389093
2013-04-23,52.287360142454
2013-04-24,51.84157092632
2013-04-25,49.60333757031
2013-04-26,49.464028440268
2013-04-29,50.207010467159
2013-04-30,50.262734119176
2013-05-01,50.002690409764
2013-05-02,50.940705218714
2013-05-03,50.680661509302
2013-05-06,50.522777828588
2013-05-07,51.061439798084
2013-05-08,51.172887102118
2013-05-09,50.90355611737
2013-05-10,50.931417943378
2013-05-13,50.597076031277
2013-05-14,51.042865247412
2013-05-15,51.089301624092
2013-05-16,50.717810610647
2013-05-17,51.267875100726
2013-05-20,51.109381942567
2013-05-21,50.950888784409
2013-05-22,50.77374937235
2013-05-23,50.885626895756
2013-05-24,50.755103118449
2013-05-28,50.689841229795
2013-05-29,50.251654263123
2013-05-30,51.016150673063
2013-05-31,50.419470548231
2013-06-03,49.114232775163
2013-06-04,49.654974138291
2013-06-05,49.319341568074
2013-06-06,48.993032124807
2013-06-07,49.356634075876
2013-06-10,50.074514851063
2013-06-11,51.100058815617
2013-06-12,51.044120053914
2013-06-13,50.866980641855
2013-06-14,51.211936339023
2013-06-17,51.892524606408
2013-06-18,52.078987145418
2013-06-19,51.799293336903
2013-06-20,50.475409309934
2013-06-21,50.661871848944
2013-06-24,49.981283581559
2013-06-25,49.925344819856
2013-06-26,51.314490735478
2013-06-27,51.566215163141
2013-06-28,52.051017764567
2013-07-01,51.286521354627
2013-07-02,51.118705069518
2013-07-03,51.361106370231
2013-07-05,51.799293336903
2013-07-08,52.470558477338
2013-07-09,52.12560278017
2013-07-10,52.722282905002
2013-07-11,54.167367582327
2013-07-12,54.437738263891
2013-07-15,54.297891359634
2013-07-16,54.335183867436
2013-07-17,54.512323279495
2013-07-18,54.363153248287
2013-07-19,54.829309595812
2013-07-22,54.99712588092
2013-07-23,53.729180615654
2013-07-24,52.927391697912
2013-07-25,53.710534361753
2013-07-26,54.512323279495
2013-07-29,54.437738263891
2013-07-30,54.288568232683
2013-07-31,54.325860740485
2013-08-01,54.819986468861
2013-08-02,54.521646406445
2013-08-05,55.034418388722
2013-08-06,54.689462691554
2013-08-07,54.764047707158
2013-08-08,55.57515975185
2013-08-09,55.463282228445
2013-08-12,54.698785818505
2013-08-13,54.204660090129
2013-08-14,54.102105693674
2013-08-15,53.589333711397
2013-08-16,52.896892521482
2013-08-19,53.392830130475
2013-08-20,53.95634284953
2013-08-21,53.599451460795
2013-08-22,53.937559092228
2013-08-23,53.95634284953
2013-08-26,53.946950970879
2013-08-27,53.411613887777
2013-08-28,53.496140795635
2013-08-29,53.674586490003
2013-08-30,53.458573281031
2013-09-03,53.899991577625
2013-09-04,54.594990597793
2013-09-05,54.613774355094
2013-09-06,54.698301262953
2013-09-09,55.092760166291
2013-09-10,55.759583550507
2013-09-11,56.81147395941
2013-09-12,56.783298323457
2013-09-13,56.61424450774
2013-09-16,57.243500377352
2013-09-17,57.844580611011
2013-09-18,57.750661824501
2013-09-19,58.445660844669
2013-09-20,57.900931882916
2013-09-23,57.825796853709
2013-09-24,57.205932862748
2013-09-25,57.299851649257
2013-09-26,57.440729829021
2013-09-27,57.553432372832
2013-09-30,57.384378557116
2013-10-01,58.680457810942
2013-10-02,58.417485208717
2013-10-03,57.684918673945
2013-10-04,58.671065932292
2013-10-07,58.201471999746
2013-10-08,57.468905464974
2013-10-09,57.544040494181
2013-10-10,58.633498417688
2013-10-11,58.840119748008
2013-10-14,59.27214616595
2013-10-15,58.990389806423
2013-10-16,59.873226399609
2013-10-17,60.690319842239
2013-10-18,60.680927963588
2013-10-21,59.98592894342
2013-10-22,59.88261827826
2013-10-23,59.948361428816
2013-10-24,60.709103599541
2013-10-25,61.272616318596
2013-10-28,61.235048803992
2013-10-29,61.798561523048
2013-10-30,61.253832561294
2013-10-31,61.357143226454
2013-11-01,62.343290484801
2013-11-04,63.010113869016
2013-11-05,62.803492538696
2013-11-06,63.075857019573
2013-11-07,62.672006237583
2013-11-08,63.86477482625
2013-11-11,63.96808549141
2013-11-12,64.137139307126
2013-11-13,64.324976880145
2013-11-14,65.231293169958
2013-11-15,65.495158556951
2013-11-18,65.16532682321
2013-11-19,64.901461436218
2013-11-20,65.344378335812
2013-11-21,65.768447707764
2013-11-22,65.98519427565
2013-11-25,66.362144828496
2013-11-26,66.541196341097
2013-11-27,66.437534939065
2013-11-29,66.465806230528
2013-12-02,66.80506172809
