Date,MMM
2010-10-18,75.238184008897
2010-10-19,74.306727570687
2010-10-20,75.078745519474
2010-10-21,75.985027459353
2010-10-22,75.892720965477
2010-10-25,76.27872993987
2010-10-26,75.917895463807
2010-10-27,75.833980469373
2010-10-28,71.386485764409
2010-10-29,70.673208311725
2010-11-01,70.471812325086
2010-11-02,71.159915279439
2010-11-03,71.579490251605
2010-11-04,73.039611154745
2010-11-05,72.452206193711
2010-11-08,72.049414220432
2010-11-09,71.579490251605
2010-11-10,72.376682698721
2010-11-11,72.586470184805
2010-11-12,72.368291199278
2010-11-15,72.334725201505
2010-11-16,70.689991310612
2010-11-17,70.88719154753
2010-11-18,72.238227955822
2010-11-19,71.782253168023
2010-11-22,71.689369414953
2010-11-23,70.583208355665
2010-11-24,71.48671395371
2010-11-26,71.267170537362
