Date,AET
2011-06-08,39.107372936783
2011-06-09,40.499783527081
2011-06-10,39.522329735216
2011-06-13,39.420895851154
2011-06-14,40.923961587701
2011-06-15,39.697533716777
2011-06-16,39.974171582399
2011-06-17,39.845073911775
2011-06-20,41.28359081301
2011-06-21,41.154493142387
2011-06-22,40.813306441453
2011-06-23,40.232366923646
2011-06-24,39.909622747087
2011-06-27,39.928065271462
2011-06-28,41.182156928949
2011-06-29,41.089944307075
2011-06-30,40.656544984267
2011-07-01,41.707768873631
2011-07-05,41.209820715511
2011-07-06,41.394245959259
2011-07-07,40.942404112076
2011-07-08,40.850191490202
2011-07-11,39.660648668027
2011-07-12,40.103269253022
2011-07-13,40.149535138178
2011-07-14,40.195801023334
2011-07-15,40.121775607085
2011-07-18,39.742395348807
2011-07-19,40.038497013804
2011-07-20,40.16804149224
2011-07-21,39.992231128649
2011-07-22,40.103269253022
2011-07-25,39.631357224434
2011-07-26,39.437040506779
2011-07-27,38.604254573975
2011-07-28,38.854090353817
2011-07-29,38.391431502259
2011-08-01,37.28105025852
2011-08-02,36.244694431031
2011-08-03,36.272453962125
2011-08-04,35.023275062919
2011-08-05,34.625388450579
2011-08-08,31.969726642638
2011-08-09,34.134970067928
2011-08-10,32.450891848258
2011-08-11,33.903640642149
2011-08-12,34.505097149174
2011-08-15,35.485933914476
2011-08-16,35.004768708856
2011-08-17,35.041781416981
2011-08-18,33.718577101526
2011-08-19,32.830272106535
2011-08-22,32.598942680756
2011-08-23,34.292274077458
2011-08-24,35.078794125106
2011-08-25,34.597628919486
2011-08-26,35.374895790103
2011-08-29,36.235441254
2011-08-30,36.95718906243
2011-08-31,37.04046765571
2011-09-01,36.901670000243
2011-09-02,35.985605474159
2011-09-06,35.624731569944
2011-09-07,36.966442239461
2011-09-08,36.263200785093
2011-09-09,35.162072718386
2011-09-12,35.569212507757
2011-09-13,37.503126507268
2011-09-14,37.253290727427
2011-09-15,38.197114784605
2011-09-16,38.428444210383
2011-09-19,38.030557598044
2011-09-20,37.484620153206
2011-09-21,35.920833234941
2011-09-22,35.069540948075
2011-09-23,35.763529225411
2011-09-26,36.503783387903
2011-09-27,36.207681722906
2011-09-28,34.79194563714
2011-09-29,34.440324909956
2011-09-30,33.626045331214
2011-10-03,31.766156747952
2011-10-04,32.913550699816
2011-10-05,32.62670221185
2011-10-06,32.848778460598
2011-10-07,32.821018929504
2011-10-10,34.088704182772
2011-10-11,33.986919235429
2011-10-12,34.813828970791
