Date,LNT
2012-05-17,18.25752965945
2012-05-18,18.119972929139
2012-05-21,18.186667101411
2012-05-22,18.395086389761
2012-05-23,18.199172258712
2012-05-24,18.311718674421
2012-05-25,18.357570917858
2012-05-29,18.38258123246
2012-05-30,18.178330329877
2012-05-31,18.211677416013
2012-06-01,18.094962614537
2012-06-04,18.119972929139
2012-06-05,18.290876745586
2012-06-06,18.524306348538
2012-06-07,18.628515992713
2012-06-08,18.724388865354
2012-06-11,18.720220479587
2012-06-12,18.79941980916
2012-06-13,18.803588194927
2012-06-14,18.803588194927
2012-06-15,18.96615523984
2012-06-18,19.095375198617
2012-06-19,18.949481696772
2012-06-20,18.803588194927
2012-06-21,18.607674063878
2012-06-22,18.749399179956
2012-06-25,18.599337292344
2012-06-26,18.595168906577
2012-06-27,18.724388865354
2012-06-28,18.8827875245
2012-06-29,18.995333940209
2012-07-02,19.278784172365
2012-07-03,19.145395827821
2012-07-05,19.032849412112
2012-07-06,18.991165554442
2012-07-09,18.945313311005
2012-07-10,18.92447138217
2012-07-11,19.037017797879
2012-07-12,19.070364884015
2012-07-13,19.445519603045
2012-07-16,19.428846059977
2012-07-17,19.533055704152
2012-07-18,19.699791134831
2012-07-19,19.68728597753
2012-07-20,19.799832393239
2012-07-23,19.570571176054
2012-07-24,19.357983501938
2012-07-25,19.253773857763
2012-07-26,19.583076333355
2012-07-27,19.753980149802
2012-07-30,19.884438902389
2012-07-31,19.657188172076
2012-08-01,19.551979500635
2012-08-02,19.594062969212
2012-08-03,19.75818849666
2012-08-06,19.68664660008
2012-08-07,19.463604216625
2012-08-08,19.434145788621
2012-08-09,19.337353810895
2012-08-10,19.387853973187
2012-08-13,19.32893711718
2012-08-14,19.434145788621
2012-08-15,19.47202091034
2012-08-16,19.379437279472
2012-08-17,19.354187198326
2012-08-20,19.261603567458
2012-08-21,19.190061670877
2012-08-22,19.080644652579
2012-08-23,18.777643678828
2012-08-24,18.781852025686
2012-08-27,18.802893759974
2012-08-28,18.731351863394
2012-08-29,18.689268394817
2012-08-30,18.621934845095
2012-08-31,18.550392948515
2012-09-04,18.689268394817
2012-09-05,18.664018313671
2012-09-06,19.076436305721
2012-09-07,18.853393922266
2012-09-10,18.836560534835
2012-09-11,18.786060372543
2012-09-12,18.626143191953
2012-09-13,18.786060372543
2012-09-14,18.596684763949
2012-09-17,18.428350889643
2012-09-18,18.386267421067
2012-09-19,18.390475767924
2012-09-20,18.339975605632
2012-09-21,18.167433384469
2012-09-24,18.419934195928
2012-09-25,18.373642380494
2012-09-26,18.453600970789
2012-09-27,18.196891812472
2012-09-28,18.260017015337
2012-10-01,18.180058425042
2012-10-02,18.302100483914
2012-10-03,18.588268070234
2012-10-04,18.735560210251
2012-10-05,18.579851376518
2012-10-08,18.689268394817
2012-10-09,18.714518475963
2012-10-10,18.588268070234
2012-10-11,18.68506004796
2012-10-12,18.563017989088
2012-10-15,18.752393597682
2012-10-16,18.769226985113
2012-10-17,19.034352837144
2012-10-18,19.063811265148
2012-10-19,19.009102755999
2012-10-22,18.903894084557
2012-10-23,18.790268719401
2012-10-24,18.655601619956
2012-10-25,18.722935169678
2012-10-26,18.722935169678
2012-10-31,18.811310453689
2012-11-01,18.866018962839
2012-11-02,18.537767907942
2012-11-05,18.306308830771
2012-11-06,18.445184277074
2012-11-07,18.007516203878
2012-11-08,17.999099510163
2012-11-09,18.390475767924
2012-11-12,18.339975605632
2012-11-13,18.289475443341
2012-11-14,17.994891163305
2012-11-15,17.834973982715
2012-11-16,18.289475443341
2012-11-19,18.285267096483
2012-11-20,18.453600970789
2012-11-21,18.41572584907
2012-11-23,18.39889246164
2012-11-26,18.491476092508
2012-11-27,18.533559561084
2012-11-28,18.600893110807
2012-11-29,18.689268394817
2012-11-30,18.861810615981
2012-12-03,18.722935169678
2012-12-04,18.655601619956
2012-12-05,18.823935494262
2012-12-06,18.75660194454
2012-12-07,18.748185250824
2012-12-10,18.781852025686
2012-12-11,18.790268719401
2012-12-12,18.693476741675
2012-12-13,18.621934845095
2012-12-14,18.424142542785
2012-12-17,18.937560859419
2012-12-18,18.945977553134
2012-12-19,18.819727147404
2012-12-20,18.878644003411
2012-12-21,18.739768557109
2012-12-24,18.697685088533
2012-12-26,18.504101133081
2012-12-27,18.47043435822
2012-12-28,18.331558911917
2012-12-31,18.478851051935
2013-01-02,18.996477715426
2013-01-03,19.004894409141
2013-01-04,19.11431142744
2013-01-07,18.975435981137
2013-01-08,18.97122763428
2013-01-09,19.063811265148
2013-01-10,19.227936792596
2013-01-11,19.253186873742
2013-01-14,19.278436954888
2013-01-15,19.278436954888
2013-01-16,19.139561508586
2013-01-17,19.211103405166
2013-01-18,19.227936792596
2013-01-22,19.375228932614
2013-01-23,19.291061995461
2013-01-24,19.312103729749
2013-01-25,19.27422860803
2013-01-28,19.240561833169
2013-01-29,19.413104054333
2013-01-30,19.408852388968
2013-01-31,19.489634030894
2013-02-01,19.65544898011
2013-02-04,19.4768790348
2013-02-05,19.544905680633
2013-02-06,19.604428995736
2013-02-07,19.685210637661
2013-02-08,19.719223960577
2013-02-11,19.774495610316
2013-02-12,19.829767260054
2013-02-13,19.817012263961
2013-02-14,19.982827213177
2013-02-15,19.95731722099
