Date,AIG
2010-10-18,33.242546572963
2010-10-19,32.259272005613
2010-10-20,32.731243797941
2010-10-21,32.471659312161
2010-10-22,32.691912815247
2010-10-25,32.330067774462
2010-10-26,33.061624052571
2010-10-27,32.896433925256
2010-10-28,33.022293069877
2010-10-29,33.045891659493
2010-11-01,32.975095890644
2010-11-02,33.13241982142
2010-11-03,34.273018319546
2010-11-04,35.193363314585
2010-11-05,35.877722413461
2010-11-08,35.106835152658
2010-11-09,33.714518365291
2010-11-10,33.816778920295
2010-11-11,33.439201486433
2010-11-12,32.888567728717
2010-11-15,33.368405717584
2010-11-16,32.809905763329
2010-11-17,32.864969139101
2010-11-18,33.478532469127
2010-11-19,33.612257810287
2010-11-22,33.148152214497
2010-11-23,32.133412860992
2010-11-24,32.849236746023
2010-11-26,32.448060722544
