Date,ADM
2010-10-18,28.079297375352
2010-10-19,27.56085888897
2010-10-20,27.953868709292
2010-10-21,27.953868709292
2010-10-22,28.04584973107
2010-10-25,28.188002219271
2010-10-26,27.903697242868
2010-10-27,27.778268576808
2010-10-28,27.970592531434
2010-10-29,27.861887687515
2010-11-01,27.920421065009
2010-11-02,26.080800629459
2010-11-03,25.96373387447
2010-11-04,26.390191339075
2010-11-05,26.21459120659
2010-11-08,26.080800629459
2010-11-09,25.796495653056
2010-11-10,25.737962275561
2010-11-11,25.654343164854
2010-11-12,25.278057166674
2010-11-15,25.244609522391
2010-11-16,24.85996161314
2010-11-17,24.809535727515
2010-11-18,25.036452212827
2010-11-19,24.927196127306
2010-11-22,24.935600441577
2010-11-23,24.448150213869
2010-11-24,24.775918470431
2010-11-26,24.549001985119
