Date,ALL
2013-10-08,46.891286218493
2013-10-09,47.309212120619
2013-10-10,48.275085316642
2013-10-11,48.776596399193
2013-10-14,49.055213667277
2013-10-15,48.674436734229
2013-10-16,49.816767533372
2013-10-17,50.104672043726
2013-10-18,50.03037410557
2013-10-21,49.983937894223
2013-10-22,49.937501682875
2013-10-23,49.296681966283
2013-10-24,49.733182352947
2013-10-25,49.547437507558
2013-10-28,49.370979904438
2013-10-29,49.556724749828
2013-10-30,49.185235059049
2013-10-31,49.278107481744
2013-11-01,49.482426811672
2013-11-04,49.389554388977
2013-11-05,49.213096785858
2013-11-06,49.798193048833
2013-11-07,49.16666057451
2013-11-08,50.262555162306
2013-11-11,50.299704131384
2013-11-12,49.575299234366
2013-11-13,50.104672043726
2013-11-14,50.587608641737
2013-11-15,50.801215213935
2013-11-18,50.37400206954
2013-11-19,50.178969981881
2013-11-20,49.844629260181
2013-11-21,50.448300007695
2013-11-22,50.810502456204
2013-11-25,50.661906579893
2013-11-26,50.838364183013
2013-11-27,50.735735809731
2013-11-29,50.633107436449
2013-12-02,50.297232760254
2013-12-03,49.924038675592
2013-12-04,49.980017788291
2013-12-05,49.82141030231
2013-12-06,50.679756697032
2013-12-09,50.483829802584
2013-12-10,50.175944682739
2013-12-11,49.513525182464
2013-12-12,49.252289323201
2013-12-13,49.270949027434
2013-12-16,49.289608731667
2013-12-17,48.683168344093
2013-12-18,49.205640062619
2013-12-19,49.681462520562
2013-12-20,50.166614830622
2013-12-23,50.101305865806
2013-12-24,50.353211872953
2013-12-26,50.166614830622
2013-12-27,50.054656605224
2013-12-30,50.595788027983
2013-12-31,50.885013443595
2014-01-02,49.961358084058
2014-01-03,49.756101337494
2014-01-06,49.560174443047
2014-01-07,49.774761041727
2014-01-08,49.933368527709
2014-01-09,50.222593943321
2014-01-10,50.465170098351
2014-01-13,49.877389415009
2014-01-14,50.371871577186
2014-01-15,50.27857305602
2014-01-16,49.616153555746
2014-01-17,49.354917696483
2014-01-21,49.149660949919
2014-01-22,48.897754942773
2014-01-23,48.1793563298
2014-01-24,47.227711413913
2014-01-27,47.302350230845
2014-01-28,48.300644407315
2014-01-29,48.272654850965
2014-01-30,48.795126569491
2014-01-31,47.768842836672
2014-02-03,46.611941174221
2014-02-04,46.555962061522
2014-02-05,46.229417237443
2014-02-06,48.85110568219
2014-02-07,49.224299766852
2014-02-10,48.599199675044
2014-02-11,49.270949027434
2014-02-12,49.009713168171
2014-02-13,49.168320654153
2014-02-14,49.410896809182
2014-02-18,48.683168344093
2014-02-19,48.319304111548
2014-02-20,49.886719267126
2014-02-21,50.250583499671
2014-02-24,50.250583499671
2014-02-25,50.054656605224
2014-02-26,50.241253647554
2014-02-27,50.857023887246
2014-02-28,50.885157959099
2014-03-03,50.688219456125
2014-03-04,51.438461372219
2014-03-05,51.644777899145
2014-03-06,51.738558138657
2014-03-07,52.24497143202
2014-03-10,52.329373647581
2014-03-11,52.151191192509
2014-03-12,52.038654905094
2014-03-13,51.68228999495
2014-03-14,51.701046042852
2014-03-17,52.066788976948
2014-03-18,52.019898857192
2014-03-19,51.869850473973
2014-03-20,52.104301072753
2014-03-21,52.573202270312
2014-03-24,52.685738557726
2014-03-25,52.516934126605
2014-03-26,52.235593408069
2014-03-27,52.179325264362
2014-03-28,52.329373647581
2014-03-31,53.060859515773
2014-04-01,52.976457300212
2014-04-02,52.657604485872
2014-04-03,53.070237539724
2014-04-04,52.901433108603
2014-04-07,52.282483527825
2014-04-08,52.413775863142
2014-04-09,52.63884843797
2014-04-10,52.057410952997
2014-04-11,51.851094426071
2014-04-14,51.76669221051
2014-04-15,52.104301072753
2014-04-16,52.507556102653
2014-04-17,52.301239575727
2014-04-21,52.301239575727
2014-04-22,52.535690174507
2014-04-23,52.695116581677
2014-04-24,52.892055084652
2014-04-25,52.620092390068
2014-04-28,53.304688138504
2014-04-29,53.35157825826
2014-04-30,53.407846401967
2014-05-01,53.726699216307
2014-05-02,53.623540952844
2014-05-05,53.567272809137
2014-05-06,53.051481491822
2014-05-07,54.223734485719
2014-05-08,54.373782868938
2014-05-09,54.514453228206
2014-05-12,54.720769755132
2014-05-13,54.767659874888
2014-05-14,54.476941132401
2014-05-15,53.979905862989
2014-05-16,54.14871029411
2014-05-19,54.580099395864
2014-05-20,54.46756310845
2014-05-21,54.78641592279
2014-05-22,54.720769755132
2014-05-23,54.748903826985
2014-05-27,54.823928018595
2014-05-28,54.823928018595
2014-05-29,54.937005903817
2014-05-30,54.89931327541
2014-06-02,55.285662716586
2014-06-03,55.200854302669
2014-06-04,55.238546931076
2014-06-05,55.700281629067
2014-06-06,55.898167928206
2014-06-09,55.747397414576
2014-06-10,55.76624372878
2014-06-11,55.672012157762
2014-06-12,55.323355344993
2014-06-13,55.606050058049
2014-06-16,55.417586916012
2014-06-17,55.794513200086
2014-06-18,55.747397414576
2014-06-19,55.427010073113
2014-06-20,55.427010073113
2014-06-23,55.785090042984
2014-06-24,55.521241644132
2014-06-25,55.323355344993
2014-06-26,55.172584831363
2014-06-27,55.304509030789
2014-06-30,55.332778502095
2014-07-01,55.709704786169
2014-07-02,55.596626900947
2014-07-03,55.568357429641
2014-07-07,55.15373851716
2014-07-08,55.10662273165
2014-07-09,55.10662273165
2014-07-10,54.720273290474
2014-07-11,54.842774332798
2014-07-14,54.918159589613
2014-07-15,55.087776417447
2014-07-16,54.805081704391
2014-07-17,54.484694362928
2014-07-18,54.710850133372
2014-07-21,54.663734347863
2014-07-22,54.739119604678
2014-07-23,54.965275375122
2014-07-24,55.116045888752
2014-07-25,54.59777224815
2014-07-28,54.59777224815
2014-07-29,53.759111266085
2014-07-30,53.608340752455
2014-07-31,55.078353260345
2014-08-01,54.786235390187
2014-08-04,55.558934272539
2014-08-05,55.455279544419
2014-08-06,56.143170012854
2014-08-07,55.888744771104
2014-08-08,56.227978426771
2014-08-11,56.124323698651
2014-08-12,56.68028996766
2014-08-13,56.642597339253
2014-08-14,57.273948865077
2014-08-15,57.18914045116
2014-08-18,57.74510672017
2014-08-19,57.566066735235
2014-08-20,57.858184605392
2014-08-21,57.961839333513
2014-08-22,57.688567777559
2014-08-25,58.338765617587
2014-08-26,58.291649832077
2014-08-27,58.244534046568
2014-08-28,57.88482458878
2014-08-29,58.206669893117
2014-09-02,58.528515197453
2014-09-03,58.348660468559
2014-09-04,58.093077432763
2014-09-05,58.074145356037
2014-09-08,58.112009509488
2014-09-09,57.591377399532
2014-09-10,57.638707591346
2014-09-11,57.941620818957
2014-09-12,57.742834013338
2014-09-15,58.329728391834
2014-09-16,58.414922737099
2014-09-17,58.452786890551
2014-09-18,58.992351077233
2014-09-19,58.878758616879
2014-09-22,58.537981235816
2014-09-23,58.036281202586
2014-09-24,58.386524622011
2014-09-25,57.828028358603
2014-09-26,58.130941586214
2014-09-29,58.01734912586
2014-09-30,58.093077432763
2014-10-01,57.562979284444
2014-10-02,57.875358550417
2014-10-03,58.433854813825
2014-10-06,58.329728391834
2014-10-07,57.648173629709
2014-10-08,58.348660468559
2014-10-09,57.7523000517
