Date,ABT
2010-10-18,21.623976786136
2010-10-19,21.301651810751
2010-10-20,21.120344012097
2010-10-21,21.289564624174
2010-10-22,21.17675088279
2010-10-25,21.156605571828
2010-10-26,21.22912869129
2010-10-27,20.806077161097
2010-10-28,20.850396845212
2010-10-29,20.677147170943
2010-11-01,20.387054693097
2010-11-02,20.499868434481
2010-11-03,20.564333429558
2010-11-04,20.499868434481
2010-11-05,20.515984683251
2010-11-08,20.326618760212
2010-11-09,20.165456272519
2010-11-10,20.213805018827
2010-11-11,20.056671593327
2010-11-12,19.57318413025
2010-11-15,19.403963518173
2010-11-16,19.202510408557
2010-11-17,19.258917279249
2010-11-18,19.186394159788
2010-11-19,19.097754791557
2010-11-22,19.037318858672
2010-11-23,18.916446992903
2010-11-24,18.920476055095
2010-11-26,18.856011060018
