Date,AON
2010-10-18,36.7706051137
2010-10-19,36.265514384116
2010-10-20,36.412449869086
2010-10-21,36.788972049321
2010-10-22,36.752238178079
2010-10-25,37.009375276776
2010-10-26,37.082843019261
2010-10-27,37.532832941981
2010-10-28,37.477732135118
2010-10-29,36.638953575281
2010-11-01,36.657388268904
2010-11-02,36.76799643064
2010-11-03,36.814083164697
2010-11-04,37.874078048007
2010-11-05,38.510074977993
2010-11-08,38.22433722684
2010-11-09,38.196685186406
2010-11-10,38.3533800822
2010-11-11,38.159815799161
2010-11-12,37.855643354385
2010-11-15,38.030772943801
2010-11-16,37.588340296854
2010-11-17,37.680513764968
2010-11-18,37.82799131395
2010-11-19,37.800339273516
2010-11-22,37.643644377723
2010-11-23,37.099820915851
2010-11-24,37.698948458591
2010-11-26,37.49616682874
