Date,MO
2010-10-18,17.925705268475
2010-10-19,17.817719092158
2010-10-20,17.940103425317
2010-10-21,17.96170066058
2010-10-22,17.940103425317
2010-10-25,18.040890523212
2010-10-26,18.141677621107
2010-10-27,18.076885915317
2010-10-28,18.242464719002
2010-10-29,18.298257576765
2010-11-01,18.264061954265
2010-11-02,18.408043522687
2010-11-03,18.544826012687
2010-11-04,18.825590071109
2010-11-05,18.796793757425
2010-11-08,18.624015875319
2010-11-09,18.415242601108
2010-11-10,18.148876699528
2010-11-11,18.16327485637
2010-11-12,17.889709876369
2010-11-15,17.774524621632
2010-11-16,17.551353190579
2010-11-17,17.608945817947
2010-11-18,17.817719092158
2010-11-19,17.810520013737
2010-11-22,17.623343974789
2010-11-23,17.666538445316
2010-11-24,17.688135680579
2010-11-26,17.536955033737
2010-11-29,17.587348582684
2010-11-30,17.277788210578
2010-12-01,17.400172543736
2010-12-02,17.133806642156
2010-12-03,17.141005720577
2010-12-06,17.313783602683
2010-12-07,17.313783602683
2010-12-08,17.565751347421
2010-12-09,17.702533837421
2010-12-10,17.889709876369
2010-12-13,17.810520013737
2010-12-14,17.846515405843
2010-12-15,17.817719092158
2010-12-16,17.968899739001
2010-12-17,17.990496974264
2010-12-20,18.120080385844
2010-12-21,18.177673013212
2010-12-22,18.184872091633
2010-12-23,18.16327485637
2010-12-27,18.053637382388
2010-12-28,18.090183207049
2010-12-29,18.06094654732
2010-12-30,17.980545733066
2010-12-31,17.995164062931
2011-01-03,17.907454083745
2011-01-04,17.827053269492
2011-01-05,17.892835753881
2011-01-06,17.965927403202
2011-01-07,17.827053269492
2011-01-10,17.717415795509
2011-01-11,17.593159991663
2011-01-12,17.585850826731
2011-01-13,17.629705816324
2011-01-14,17.658942476052
2011-01-18,17.600469156595
2011-01-19,17.534686672206
2011-01-20,17.571232496867
2011-01-21,17.607778321527
2011-01-24,17.848980764288
2011-01-25,17.75396162017
2011-01-26,17.73568870784
2011-01-27,17.483522517681
2011-01-28,17.388503373563
2011-01-31,17.183846755463
2011-02-01,17.235010909988
2011-02-02,17.30810255931
2011-02-03,17.578541661799
2011-02-04,17.541995837138
2011-02-07,17.585850826731
2011-02-08,17.637014981256
2011-02-09,17.65163331112
2011-02-10,17.607778321527
2011-02-11,17.863599094152
2011-02-14,17.900144918813
2011-02-15,17.892835753881
2011-02-16,17.892835753881
2011-02-17,18.075564877184
2011-02-18,18.119419866777
2011-02-22,18.082874042116
2011-02-23,18.06094654732
2011-02-24,18.06094654732
2011-02-25,18.229057340759
2011-02-28,18.543351432841
2011-03-01,18.360622309538
2011-03-02,18.309458155013
2011-03-03,18.594515587366
2011-03-04,18.506805608181
2011-03-07,18.550660597773
2011-03-08,18.755317215873
2011-03-09,18.864954689856
2011-03-10,18.740698886009
2011-03-11,18.587206422434
2011-03-14,18.54268616753
2011-03-15,18.334924977978
2011-03-16,18.02328319365
2011-03-17,18.13458383091
2011-03-18,18.401705360334
2011-03-21,18.661406847274
2011-03-22,18.869168036826
2011-03-23,19.002728801538
2011-03-24,19.240170161027
2011-03-25,19.158549693703
2011-03-28,19.329210670835
2011-03-29,19.269850330963
2011-03-30,19.373730925739
2011-03-31,19.314370585867
2011-04-01,19.277270373447
2011-04-04,19.247590203511
2011-04-05,19.373730925739
2011-04-06,19.499871647967
2011-04-07,19.366310883255
2011-04-08,19.470191478031
2011-04-11,19.677952667583
2011-04-12,19.811513432295
2011-04-13,19.796673347327
2011-04-14,19.952494239491
2011-04-15,20.041534749299
2011-04-18,19.700212795035
2011-04-19,19.574072072807
2011-04-20,19.403411095675
2011-04-21,19.336630713319
2011-04-25,19.351470798287
2011-04-26,19.507291690451
2011-04-27,19.752153092423
2011-04-28,19.774413219875
2011-04-29,19.915394027071
2011-05-02,19.870873772167
2011-05-03,20.034114706815
2011-05-04,19.922814069555
2011-05-05,19.796673347327
2011-05-06,20.004434536879
2011-05-09,20.137995301591
2011-05-10,20.160255429043
2011-05-11,20.078634961719
2011-05-12,20.293816193755
2011-05-13,20.264136023819
2011-05-16,20.397696788532
2011-05-17,20.52383751076
2011-05-18,20.679658402924
2011-05-19,20.761278870248
2011-05-20,20.583197850632
2011-05-23,20.664818317956
2011-05-24,20.716758615344
2011-05-25,20.70933857286
2011-05-26,20.605457978084
2011-05-27,20.731598700312
2011-05-31,20.82063921012
2011-06-01,20.716758615344
2011-06-02,20.457057128404
2011-06-03,20.479317255856
2011-06-06,20.219615768915
2011-06-07,20.108315131655
2011-06-08,20.249295938851
2011-06-09,20.37543666108
2011-06-10,20.041534749299
2011-06-13,20.264136023819
2011-06-14,20.595224766875
2011-06-15,20.023344210688
2011-06-16,20.264136023819
2011-06-17,20.377007186225
2011-06-20,20.557601046073
2011-06-21,20.550076301913
2011-06-22,20.452254627828
2011-06-23,20.203938070537
2011-06-24,20.158789605575
2011-06-27,20.143740117254
2011-06-28,19.83522560668
2011-06-29,19.63958225851
2011-06-30,19.872849327481
2011-07-01,19.963146257405
2011-07-05,20.015819466528
2011-07-06,20.181363838056
2011-07-07,20.316809232942
2011-07-08,20.234037047178
2011-07-11,20.264136023819
2011-07-12,20.241561791338
2011-07-13,20.211462814697
2011-07-14,20.203938070537
2011-07-15,20.083542163971
2011-07-18,20.015819466528
2011-07-19,20.331858721263
2011-07-20,19.84275035084
2011-07-21,20.008294722368
2011-07-22,19.83522560668
2011-07-25,19.744928676755
2011-07-26,19.684730723473
2011-07-27,19.647107002671
2011-07-28,19.737403932595
2011-07-29,19.790077141717
2011-08-01,19.677205979312
2011-08-02,19.699780211793
2011-08-03,19.83522560668
2011-08-04,19.180572864729
2011-08-05,19.481562631143
2011-08-08,18.465722169496
2011-08-09,18.947305795758
2011-08-10,18.33027677461
2011-08-11,18.781761424231
2011-08-12,18.962355284079
2011-08-15,19.338592492097
2011-08-16,19.323543003776
2011-08-17,19.564334816907
2011-08-18,19.338592492097
2011-08-19,19.346117236257
2011-08-22,19.458988398662
2011-08-23,19.887898815802
2011-08-24,19.917997792443
2011-08-25,19.571859561067
2011-08-26,19.790077141717
2011-08-29,20.151264861414
2011-08-30,20.331858721263
