Date,AIV
2010-10-18,18.527777911838
2010-10-19,18.261481452304
2010-10-20,18.777935192007
2010-10-21,18.810213550738
2010-10-22,19.020022882492
2010-10-25,19.23790180393
2010-10-26,19.12492754837
2010-10-27,18.705308884861
2010-10-28,18.576195449935
2010-10-29,18.810213550738
2010-11-01,19.213693034881
2010-11-02,19.060370830907
2010-11-03,19.197553855515
2010-11-04,20.036791182532
2010-11-05,20.529036153187
2010-11-08,20.545175332552
2010-11-09,19.964164875387
2010-11-10,20.182043796824
2010-11-11,19.980304054752
2010-11-12,19.875399388875
2010-11-15,19.689798826169
2010-11-16,19.044231651541
2010-11-17,19.036162061858
2010-11-18,19.230656693397
2010-11-19,19.376527667051
2010-11-22,19.36842372407
2010-11-23,19.190136978493
2010-11-24,19.797932702052
2010-11-26,19.67637355734
