Date,AME
2010-10-18,21.076267646635
2010-10-19,20.732217328341
2010-10-20,21.076267646635
2010-10-21,21.314129595086
2010-10-22,21.182456016479
2010-10-25,21.360852477817
2010-10-26,22.783776633727
2010-10-27,22.426983711051
2010-10-28,22.609627707182
2010-10-29,22.957925560271
2010-11-01,23.191539973928
2010-11-02,23.331708622122
2010-11-03,23.382679039647
2010-11-04,23.909373354073
2010-11-05,24.032551863092
2010-11-08,23.871145540929
2010-11-09,23.896630749692
2010-11-10,23.998571584742
2010-11-11,23.429401922378
2010-11-12,23.293480808978
2010-11-15,23.420906852791
2010-11-16,23.059866395321
2010-11-17,23.246757926246
2010-11-18,23.684254010004
2010-11-19,23.701244149179
2010-11-22,24.134492698142
2010-11-23,24.045294467473
2010-11-24,24.8438310087
2010-11-26,24.720652499681
