Date,AEE
2013-07-10,29.334248758498
2013-07-11,29.755717849856
2013-07-12,29.915876104572
2013-07-15,30.39635086872
2013-07-16,30.33734519593
2013-07-17,30.303627668621
2013-07-18,30.607085414399
2013-07-19,30.430068396028
2013-07-22,30.320486432275
2013-07-23,30.185616323041
2013-07-24,29.991740541016
2013-07-25,30.109751886596
2013-07-26,30.303627668621
2013-07-29,30.438497777855
2013-07-30,30.438497777855
2013-07-31,30.185616323041
2013-08-01,30.598656032571
2013-08-02,30.910543160176
2013-08-05,30.699808614497
2013-08-06,30.286768904967
2013-08-07,29.966452395535
2013-08-08,30.210904468522
2013-08-09,29.848441049955
2013-08-12,29.662994649757
2013-08-13,29.544983304177
2013-08-14,29.224666794745
2013-08-15,28.718903885116
2013-08-16,28.348011084721
2013-08-19,28.103559011734
2013-08-20,28.449163666647
2013-08-21,28.179423448178
2013-08-22,28.331152321067
2013-08-23,28.541886866746
2013-08-26,28.348011084721
2013-08-27,28.26371726645
2013-08-28,28.289005411931
2013-08-29,28.331152321067
2013-08-30,28.49973995761
2013-09-03,28.010835811635
2013-09-04,27.842248175092
2013-09-05,27.682089920376
2013-09-06,27.943400757018
2013-09-09,28.221570357314
2013-09-10,28.383665229378
2013-09-11,28.085069412417
2013-09-12,27.931505849409
2013-09-13,28.033881558081
2013-09-16,28.494572247106
2013-09-17,28.682261046339
2013-09-18,29.723080751173
2013-09-19,29.663361587781
2013-09-20,29.518329333829
2013-09-23,29.885175623238
2013-09-24,30.192302749254
2013-09-25,30.234959294535
2013-09-26,29.996082640966
2013-09-27,29.868113005126
2013-09-30,29.723080751173
2013-10-01,29.748674678341
2013-10-02,29.808393841734
2013-10-03,29.458610170437
2013-10-04,29.467141479493
2013-10-07,29.202670898756
2013-10-08,29.339171843652
2013-10-09,29.603642424389
2013-10-10,30.15817751303
2013-10-11,30.320272385095
2013-10-14,30.311741076039
2013-10-15,29.936363477574
2013-10-16,29.979020022854
2013-10-17,30.576211656775
2013-10-18,30.610336892999
2013-10-21,30.473835948103
2013-10-22,30.678587365448
2013-10-23,30.815088310344
2013-10-24,30.721243910728
2013-10-25,31.122215436361
2013-10-28,31.156340672585
2013-10-29,31.207528526921
2013-10-30,30.900401400904
2013-10-31,30.86627616468
2013-11-01,31.122215436361
2013-11-04,31.198997217865
2013-11-05,30.874807473736
2013-11-06,31.250185072201
2013-11-07,30.934526637128
2013-11-08,31.062496272968
2013-11-11,31.019839727688
2013-11-12,30.687118674504
2013-11-13,30.86627616468
2013-11-14,31.284310308425
2013-11-15,31.523186961994
2013-11-18,31.591437434442
2013-11-19,31.540249580106
2013-11-20,31.284310308425
2013-11-21,31.344029471817
2013-11-22,31.284310308425
2013-11-25,31.216059835977
2013-11-26,30.900401400904
2013-11-27,30.687118674504
2013-11-29,30.584742965831
2013-12-02,30.763900456008
2013-12-03,30.977183182408
2013-12-04,31.181934599753
2013-12-05,30.789494383176
2013-12-06,31.088090200137
2013-12-09,30.815088310344
2013-12-10,30.400999777618
2013-12-11,30.030045467051
2013-12-12,30.297477644437
2013-12-13,30.211209200119
2013-12-16,30.40962662205
