Date,AMGN
2010-10-18,50.710734771053
2010-10-19,50.159531132237
2010-10-20,50.509501696564
2010-10-21,50.413259791374
2010-10-22,50.352014942617
2010-10-25,50.701985506944
2010-10-26,50.098286283479
2010-10-27,49.897053208991
2010-10-28,50.107035547588
2010-10-29,50.037041434722
2010-11-01,50.247023773319
2010-11-02,50.168280396345
2010-11-03,50.133283339912
2010-11-04,49.004628269956
2010-11-05,48.488421687573
2010-11-08,48.374681254167
2010-11-09,48.059707746272
2010-11-10,47.858474671784
2010-11-11,47.788480558918
2010-11-12,47.657241597295
2010-11-15,47.692238653728
2010-11-16,47.272273976535
2010-11-17,47.132285750804
2010-11-18,48.243442292544
2010-11-19,48.120952595029
2010-11-22,47.893471728216
2010-11-23,46.896055619883
2010-11-24,47.097288694371
2010-11-26,46.86105856345
