Date,AES
2010-10-05,10.095687972861
2010-10-06,10.15619295215
2010-10-07,10.1994107945
2010-10-08,10.346351458489
2010-10-11,10.562440670237
2010-10-12,10.631589217996
2010-10-13,10.821747724334
2010-10-14,10.614302081056
2010-10-15,10.648876354936
2010-10-18,10.769886313514
2010-10-19,10.527866396357
2010-10-20,10.588371375646
2010-10-21,10.527866396357
2010-10-22,10.640232786466
2010-10-25,10.648876354936
2010-10-26,10.467361417067
2010-10-27,10.259915773789
2010-10-28,10.337707890019
2010-10-29,10.320420753079
2010-11-01,10.22534149991
2010-11-02,10.337707890019
2010-11-03,10.285846479199
2010-11-04,10.329064321549
2010-11-05,10.16483652062
2010-11-08,10.16483652062
2010-11-09,10.095687972861
2010-11-10,10.112975109801
2010-11-11,10.112975109801
2010-11-12,9.9055294665229
