Date,AEP
2013-04-25,42.495328113203
2013-04-26,42.311148204123
2013-04-29,42.955777885903
2013-04-30,43.056239654492
2013-05-01,42.88880337351
2013-05-02,42.838572489216
2013-05-03,42.763226162774
2013-05-06,42.24417369173
2013-05-07,42.754854348725
2013-05-08,42.369750902467
2013-05-09,41.27922858275
2013-05-10,41.270774921357
2013-05-13,41.14397000046
2013-05-14,41.313043228323
2013-05-15,41.769540943553
2013-05-16,41.465209133399
2013-05-17,41.963975155595
2013-05-20,41.820262911912
2013-05-21,41.727272636587
2013-05-22,41.076340709315
2013-05-23,40.814277206127
2013-05-24,40.332418506717
2013-05-28,39.360247446505
2013-05-29,39.047461974959
2013-05-30,38.962925361027
2013-05-31,38.734676503412
2013-06-03,39.005193667993
2013-06-04,38.929110715455
2013-06-05,38.557149614156
2013-06-06,38.607871582515
2013-06-07,39.013647329386
2013-06-10,38.81075945595
2013-06-11,38.345808079327
2013-06-12,38.210549497037
2013-06-13,38.819213117344
2013-06-14,38.472613000224
2013-06-17,38.523334968583
2013-06-18,38.802305794557
2013-06-19,37.863949379918
2013-06-20,36.511363557014
2013-06-21,37.01012957921
2013-06-24,36.832602689953
2013-06-25,37.120027177321
2013-06-26,37.703329813448
2013-06-27,37.60188587673
2013-06-28,37.855495718525
2013-07-01,37.593432215337
2013-07-02,37.60188587673
2013-07-03,37.584978553944
2013-07-05,37.432812648867
2013-07-08,37.677968829268
2013-07-09,37.677968829268
2013-07-10,38.396530047686
2013-07-11,39.089730281924
2013-07-12,39.351793785112
2013-07-15,40.154891617461
2013-07-16,39.926642759846
2013-07-17,39.808291500342
2013-07-18,39.918189098453
2013-07-19,39.850559807308
2013-07-22,39.808291500342
2013-07-23,39.816745161735
2013-07-24,39.208081541429
2013-07-25,38.726222842019
2013-07-26,39.284164493967
2013-07-29,39.478598706009
2013-07-30,39.351793785112
2013-07-31,39.182720557249
2013-08-01,39.351793785112
2013-08-02,39.377154769292
2013-08-05,39.216535202822
2013-08-06,38.709315519233
2013-08-07,38.853027762916
2013-08-08,38.895751567362
2013-08-09,38.451424001127
2013-08-12,38.186536413563
2013-08-13,37.861835499776
2013-08-14,37.913104065111
2013-08-15,37.408963172652
2013-08-16,37.007359410862
2013-08-19,36.469039474846
2013-08-20,36.588666127294
2013-08-21,36.204151887283
2013-08-22,36.477584235735
2013-08-23,36.879187997525
2013-08-26,36.443405192179
2013-08-27,36.545942322849
2013-08-28,36.751016584188
2013-08-29,36.477584235735
2013-08-30,36.571576605516
2013-09-03,36.024711908611
2013-09-04,36.067435713057
2013-09-05,36.007622386833
2013-09-06,36.366502344177
2013-09-09,36.460494713957
2013-09-10,36.648479453518
2013-09-11,36.067435713057
2013-09-12,35.819637647272
2013-09-13,36.417770909512
2013-09-16,36.588666127294
2013-09-17,36.913367041082
2013-09-18,38.289073544233
2013-09-19,38.169446891785
2013-09-20,37.366239368206
2013-09-23,37.878925021554
2013-09-24,37.776387890885
2013-09-25,37.417507933541
2013-09-26,37.289336520204
2013-09-27,37.118441302421
2013-09-30,37.041538454419
2013-10-01,37.357694607317
2013-10-02,37.494410781543
2013-10-03,37.02444893264
2013-10-04,37.03299369353
2013-10-07,36.862098475747
2013-10-08,37.161165106867
2013-10-09,37.32351556376
2013-10-10,37.716574564661
2013-10-11,37.82765645622
2013-10-14,37.656761238437
2013-10-15,37.152620345978
2013-10-16,37.400418411763
2013-10-17,38.135267848229
2013-10-18,38.297618305122
2013-10-21,38.143812609118
2013-10-22,38.656498262466
2013-10-23,39.750227656276
2013-10-24,39.921122874059
2013-10-25,40.39962948385
2013-10-28,40.416719005629
2013-10-29,40.391084722961
2013-10-30,40.245823787846
2013-10-31,40.023660004728
2013-11-01,40.194555222511
2013-11-04,40.322726635848
2013-11-05,39.792951460722
2013-11-06,40.365450440294
2013-11-07,39.942278195627
2013-11-08,39.942278195627
2013-11-11,40.6763524976
2013-11-12,40.90952904058
2013-11-13,40.866348199288
2013-11-14,41.099524742268
2013-11-15,41.31542894873
2013-11-18,41.729965025139
2013-11-19,41.462243809125
2013-11-20,41.030435396199
2013-11-21,41.134069415302
2013-11-22,41.194522593111
2013-11-25,41.064980069233
2013-11-26,40.96998221839
2013-11-27,40.650443992825
2013-11-29,40.641807824566
2013-12-02,40.27045258945
2013-12-03,40.477720627655
2013-12-04,40.469084459396
2013-12-05,40.140910065572
2013-12-06,40.6763524976
2013-12-09,40.348178103777
2013-12-10,39.8645526813
2013-12-11,39.536378287477
2013-12-12,39.63137613832
2013-12-13,39.553650623994
2013-12-16,39.700465484388
2013-12-17,39.570922960511
2013-12-18,40.166818570348
2013-12-19,40.054548382987
2013-12-20,40.348178103777
2013-12-23,40.080456887763
2013-12-24,40.235907916416
2013-12-26,40.089093056021
2013-12-27,40.15818240209
2013-12-30,40.279088757709
2013-12-31,40.365450440294
2014-01-02,39.838644176525
2014-01-03,39.821371840007
2014-01-06,39.795463335232
2014-01-07,40.054548382987
2014-01-08,39.812735671749
2014-01-09,39.968186700402
2014-01-10,40.762714180186
2014-01-13,40.304997262484
2014-01-14,40.166818570348
2014-01-15,40.115001560797
2014-01-16,40.227271748158
2014-01-17,40.391358945069
2014-01-21,40.883620535805
2014-01-22,41.039071564458
2014-01-23,41.134069415302
2014-01-24,40.391358945069
2014-01-27,40.745441843668
2014-01-28,41.030435396199
2014-01-29,41.099524742268
2014-01-30,41.660875679071
2014-01-31,42.153137269806
2014-02-03,41.721328856881
2014-02-04,41.885416053792
2014-02-05,41.410426799574
2014-02-06,41.539969323452
2014-02-07,41.915225348853
2014-02-10,42.107216803709
2014-02-11,42.447565291863
2014-02-12,42.744279358459
2014-02-13,43.372615028898
2014-02-14,43.730417285676
2014-02-18,43.974770046402
2014-02-19,43.765324822922
2014-02-20,43.931135624844
2014-02-21,44.1231270797
2014-02-24,43.695509748429
2014-02-25,43.686782864118
2014-02-26,43.870047434662
2014-02-27,43.459883872015
2014-02-28,43.808959244481
2014-03-03,43.390068797521
2014-03-04,43.678055979806
2014-03-05,43.355161260275
2014-03-06,42.979905234874
